context: I had caught a terrible cold response:	and returned to the present-day world to get better.
context: I had caught a terrible cold\and returned to the present-day world to get better. response:	All my friends came to visit me.
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me. response:	But then, I learned about the test the following day.
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day. response:	Hojo, please help me study!
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study! response:	But my feverjust wouldn't go down.
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down. response:	Just when I thought I wouldn't make it...
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it... response:	Here. Medicine. Drink.
context: I had caught a terrible cold\and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink. response:	Thanks to the potion that Inuyasha made for me,
context: and returned to the present-day world to get better.\All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me, response:	I was able to get through the test somehow.
context: All my friends came to visit me.\But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow. response:	The weather's great and I feel great!
context: But then, I learned about the test the following day.\Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great! response:	I'm overmy cold... and I made it through the test.
context: Hojo, please help me study!\But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test. response:	It's all thanks to you, Inuyasha.
context: But my feverjust wouldn't go down.\Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha. response:	Yeah, whatever...
context: Just when I thought I wouldn't make it...\Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever... response:	Thank you, Inuyasha.
context: Here. Medicine. Drink.\Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha. response:	If you're that much better, let's justgo on back.
context: Thanks to the potion that Inuyasha made for me,\I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back. response:	Say Inuyasha...
context: I was able to get through the test somehow.\The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha... response:	W-What?
context: The weather's great and I feel great!\I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha...\W-What? response:	Shall we go shopping?
context: I'm overmy cold... and I made it through the test.\It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha...\W-What?\Shall we go shopping? response:	Huh?
context: It's all thanks to you, Inuyasha.\Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha...\W-What?\Shall we go shopping?\Huh? response:	We'll be going on a long journey,
context: Yeah, whatever...\Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha...\W-What?\Shall we go shopping?\Huh?\We'll be going on a long journey, response:	so we have to stock up on supplies.
context: Thank you, Inuyasha.\If you're that much better, let's justgo on back.\Say Inuyasha...\W-What?\Shall we go shopping?\Huh?\We'll be going on a long journey,\so we have to stock up on supplies. response:	Last time, didn't you tell me NOTto go out?
context: If you're that much better, let's justgo on back.\Say Inuyasha...\W-What?\Shall we go shopping?\Huh?\We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out? response:	That was then, this is now.
context: Say Inuyasha...\W-What?\Shall we go shopping?\Huh?\We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now. response:	Just what's going on?
context: W-What?\Shall we go shopping?\Huh?\We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on? response:	When we're walking like this, it's as though we're on a date.
context: Shall we go shopping?\Huh?\We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date. response:	Just what're you doing?
context: Huh?\We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing? response:	Hey Kagome! These are all edible, right?
context: We'll be going on a long journey,\so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right? response:	Okay Inuyasha, what do you want most?
context: so we have to stock up on supplies.\Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most? response:	Ninja food.
