context: What are you saying? What's wrong, Norman? response:	You already know by now, right?
context: What are you saying? What's wrong, Norman?\You already know by now, right? response:	I set a trap for three people.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people. response:	To Don, I said the rope was under my bed.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed. response:	To Gilda, I said the second floor bathroom's ceiling.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling. response:	That's what I told you, Ray.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray. response:	But actually, I told Don it was in the dining hall, and told Gilda it was in the library.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library. response:	Then, the rope that was under my bed disappeared.
context: What are you saying? What's wrong, Norman?\You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared. response:	Then what about the other two locations?
context: You already know by now, right?\I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations? response:	Should we go check on them now?
context: I set a trap for three people.\To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now? response:	Dang. And I thought I was doing so well.
context: To Don, I said the rope was under my bed.\To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well. response:	That's right.
context: To Gilda, I said the second floor bathroom's ceiling.\That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well.\That's right. response:	I am Mom's spy.
context: That's what I told you, Ray.\But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well.\That's right.\I am Mom's spy. response:	When did you start suspecting me?
context: But actually, I told Don it was in the dining hall, and told Gilda it was in the library.\Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well.\That's right.\I am Mom's spy.\When did you start suspecting me? response:	The day Sister came to the House.
context: Then, the rope that was under my bed disappeared.\Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well.\That's right.\I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House. response:	I was disgusted with myself for thinking such a thing.
context: Then what about the other two locations?\Should we go check on them now?\Dang. And I thought I was doing so well.\That's right.\I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing. response:	You were the first person I suspected.
context: Should we go check on them now?\Dang. And I thought I was doing so well.\That's right.\I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected. response:	Even though you're my friend.
context: Dang. And I thought I was doing so well.\That's right.\I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend. response:	I just wished it wasn't true.
context: That's right.\I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend.\I just wished it wasn't true. response:	It was my supposition for the worst case.
context: I am Mom's spy.\When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend.\I just wished it wasn't true.\It was my supposition for the worst case. response:	But for us, it would be the most problematic if you're the traitor.
context: When did you start suspecting me?\The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend.\I just wished it wasn't true.\It was my supposition for the worst case.\But for us, it would be the most problematic if you're the traitor. response:	And from the enemy's point of view, it would be the most beneficial if you're the traitor.
context: The day Sister came to the House.\I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend.\I just wished it wasn't true.\It was my supposition for the worst case.\But for us, it would be the most problematic if you're the traitor.\And from the enemy's point of view, it would be the most beneficial if you're the traitor. response:	You can give opinions to our plans,
context: I was disgusted with myself for thinking such a thing.\You were the first person I suspected.\Even though you're my friend.\I just wished it wasn't true.\It was my supposition for the worst case.\But for us, it would be the most problematic if you're the traitor.\And from the enemy's point of view, it would be the most beneficial if you're the traitor.\You can give opinions to our plans, response:	and from the perspective of controlling the situation, it's perfect.
