context: Man, don't come to show off every time you buy a new slave. response:	That's not it.
context: Man, don't come to show off every time you buy a new slave.\That's not it. response:	Another young girl?
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl? response:	You really are a lolicon, huh?
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl?\You really are a lolicon, huh? response:	Wrong!
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl?\You really are a lolicon, huh?\Wrong! response:	Master, I'm hungry.
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl?\You really are a lolicon, huh?\Wrong!\Master, I'm hungry. response:	Want a bite?
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl?\You really are a lolicon, huh?\Wrong!\Master, I'm hungry.\Want a bite? response:	Yeah, thanks!
context: Man, don't come to show off every time you buy a new slave.\That's not it.\Another young girl?\You really are a lolicon, huh?\Wrong!\Master, I'm hungry.\Want a bite?\Yeah, thanks! response:	Hey, Filo.
context: That's not it.\Another young girl?\You really are a lolicon, huh?\Wrong!\Master, I'm hungry.\Want a bite?\Yeah, thanks!\Hey, Filo. response:	It's fine, missy.
context: Another young girl?\You really are a lolicon, huh?\Wrong!\Master, I'm hungry.\Want a bite?\Yeah, thanks!\Hey, Filo.\It's fine, missy. response:	How big a bite could she take, anyway?
context: You really are a lolicon, huh?\Wrong!\Master, I'm hungry.\Want a bite?\Yeah, thanks!\Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway? response:	Time to dig in!
context: Wrong!\Master, I'm hungry.\Want a bite?\Yeah, thanks!\Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway?\Time to dig in! response:	That was so-so, I guess.
context: Master, I'm hungry.\Want a bite?\Yeah, thanks!\Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess. response:	The Rising of the Shield Hero
context: Want a bite?\Yeah, thanks!\Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero response:	A New Comrade
context: Yeah, thanks!\Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade response:	So, what's her deal?
context: Hey, Filo.\It's fine, missy.\How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade\So, what's her deal? response:	According to the slave merchant,
context: It's fine, missy.\How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade\So, what's her deal?\According to the slave merchant, response:	filolials have a king or queen leading each flock.
context: How big a bite could she take, anyway?\Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade\So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock. response:	Isn't that just a myth?
context: Time to dig in!\That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade\So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth? response:	Those kings and queens are highly skilled at transforming,
context: That was so-so, I guess.\The Rising of the Shield Hero\A New Comrade\So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming, response:	and they blend into the flocks by disguising themselves as normal filolials.
context: The Rising of the Shield Hero\A New Comrade\So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials. response:	And they can transform into humans, too?
