context: All of Kosaku Kawajiri's shoes are a bit big for my own feet. response:	I need to switch them with
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with response:	shoes that fit me, before they start to suspect something.
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something. response:	Hayato.
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato. response:	Aren't you going to say goodbye?
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye? response:	Have a good day.
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye?\Have a good day. response:	Darling!
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye?\Have a good day.\Darling! response:	Something terrifying happened in the basement!
context: All of Kosaku Kawajiri's shoes are a bit big for my own feet.\I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye?\Have a good day.\Darling!\Something terrifying happened in the basement! response:	It was so scary! I thought I was going to die!
context: I need to switch them with\shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye?\Have a good day.\Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die! response:	It might have been scary,
context: shoes that fit me, before they start to suspect something.\Hayato.\Aren't you going to say goodbye?\Have a good day.\Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary, response:	but it gave me an excuse to dive into the arms
context: Hayato.\Aren't you going to say goodbye?\Have a good day.\Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms response:	of the one I love so much.
context: Aren't you going to say goodbye?\Have a good day.\Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much. response:	Like that, and that, and that!
context: Have a good day.\Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that! response:	You see... There's a cat I've never seen before in the basement!
context: Darling!\Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement! response:	A cat?
context: Something terrifying happened in the basement!\It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat? response:	Jojo's Bizarre Adventure
context: It was so scary! I thought I was going to die!\It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: It might have been scary,\but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 30 Cats Love Yoshikage Kira
context: but it gave me an excuse to dive into the arms\of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira response:	So the reason it was really scary...
context: of the one I love so much.\Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary... response:	I went down to the basement
context: Like that, and that, and that!\You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement response:	because I ran out of mineral water.
context: You see... There's a cat I've never seen before in the basement!\A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement\because I ran out of mineral water. response:	And you know how much I love cats, right?
context: A cat?\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right? response:	So I was like, Oh, it's a British Blue.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue. response:	It had perfect proportions,
context: Diamond is Unbreakable\Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions, response:	and golden eyes contrasting with its velvet-like, blue-gray fur.
context: Episode 30 Cats Love Yoshikage Kira\So the reason it was really scary...\I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur. response:	Where did you come in from?
context: So the reason it was really scary...\I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from? response:	You cute little kitty...
context: I went down to the basement\because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty... response:	Oh, dear. It's being defensive.
context: because I ran out of mineral water.\And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive. response:	It must have come in from there.
context: And you know how much I love cats, right?\So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there. response:	But I can't let it stay down here forever.
context: So I was like, Oh, it's a British Blue.\It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever. response:	It might pee on the potato sack it's sitting on,
context: It had perfect proportions,\and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on, response:	and it might even have fleas.
context: and golden eyes contrasting with its velvet-like, blue-gray fur.\Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas. response:	It's okay to get closer if you don't make eye contact, right?
context: Where did you come in from?\You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right? response:	Oh, right. I just need to let it know that I'm not its enemy.
context: You cute little kitty...\Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy. response:	See? My belly's up, which means I'm being submissive.
context: Oh, dear. It's being defensive.\It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive. response:	Let's be friends.
context: It must have come in from there.\But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends. response:	Why am I trying to humor a cat?
context: But I can't let it stay down here forever.\It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat? response:	If you don't get out of here, I'll hit you with this!
context: It might pee on the potato sack it's sitting on,\and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this! response:	You hear? I'll throw it!
context: and it might even have fleas.\It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it! response:	Darn it!
context: It's okay to get closer if you don't make eye contact, right?\Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it! response:	Why, you!
context: Oh, right. I just need to let it know that I'm not its enemy.\See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it!\Why, you! response:	It was clinging to the ceiling like some kind of bug!
context: See? My belly's up, which means I'm being submissive.\Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug! response:	A-And what really creeped me out was
