context: Damn you... response:	This is for Yamucha!
context: Damn you...\This is for Yamucha! response:	Why, you-!
context: Damn you...\This is for Yamucha!\Why, you-! response:	I- incredible!
context: Damn you...\This is for Yamucha!\Why, you-!\I- incredible! response:	You dirty brat!
context: Damn you...\This is for Yamucha!\Why, you-!\I- incredible!\You dirty brat! response:	I don't even have to dodge this one!
context: Damn you...\This is for Yamucha!\Why, you-!\I- incredible!\You dirty brat!\I don't even have to dodge this one! response:	W- what!?
context: Damn you...\This is for Yamucha!\Why, you-!\I- incredible!\You dirty brat!\I don't even have to dodge this one!\W- what!? response:	H- he defused it with just a kiai shout!?
context: Damn you...\This is for Yamucha!\Why, you-!\I- incredible!\You dirty brat!\I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!? response:	D- d- dammit!
context: This is for Yamucha!\Why, you-!\I- incredible!\You dirty brat!\I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit! response:	This is for Tenshinhan!
context: Why, you-!\I- incredible!\You dirty brat!\I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan! response:	How!? How does Kakarrot have this much power!?
context: I- incredible!\You dirty brat!\I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!? response:	What!?
context: You dirty brat!\I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!? response:	And this is for Piccolo!
context: I don't even have to dodge this one!\W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo! response:	Dammit!
context: W- what!?\H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo!\Dammit! response:	Awesome! You really are awesome, Goku!
context: H- he defused it with just a kiai shout!?\D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku! response:	Yeah!
context: D- d- dammit!\This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku!\Yeah! response:	Dammit!
context: This is for Tenshinhan!\How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku!\Yeah!\Dammit! response:	Dammit!
context: How!? How does Kakarrot have this much power!?\What!?\And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku!\Yeah!\Dammit!\Dammit! response:	Dammit!
context: What!?\And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku!\Yeah!\Dammit!\Dammit!\Dammit! response:	I see... Impressive, you really are extremely tough, huh?
context: And this is for Piccolo!\Dammit!\Awesome! You really are awesome, Goku!\Yeah!\Dammit!\Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh? response:	I am an elite warrior from a distinguished family!
context: Dammit!\Awesome! You really are awesome, Goku!\Yeah!\Dammit!\Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family! response:	I'm not about to be looked down upon by a lower-class warrior like you!
context: Awesome! You really are awesome, Goku!\Yeah!\Dammit!\Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you! response:	You'll pay for this! I'll kill you!
context: Yeah!\Dammit!\Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you! response:	You miserable fool! Cool that head of yours!
context: Dammit!\Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours! response:	If you'll compose yourself and think about it,
context: Dammit!\Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it, response:	you'll find he's not the kind of opponent that you can't take, Nappa!
context: Dammit!\I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa! response:	Calm down!
context: I see... Impressive, you really are extremely tough, huh?\I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down! response:	You're right!
context: I am an elite warrior from a distinguished family!\I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right! response:	Thanks to you, my eyes have been opened.
context: I'm not about to be looked down upon by a lower-class warrior like you!\You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right!\Thanks to you, my eyes have been opened. response:	That simple-celled fool! At this rate, it looks like I will have to step in.
context: You'll pay for this! I'll kill you!\You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in. response:	It's true, I was pretty upset. Now it's time to show you what I'm really made of.
context: You miserable fool! Cool that head of yours!\If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of. response:	Are you ready for this, Kakarrot!?
context: If you'll compose yourself and think about it,\you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!? response:	That's more like it. I can't wait!
context: you'll find he's not the kind of opponent that you can't take, Nappa!\Calm down!\You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait! response:	Talk tough, will you?
context: Calm down!\You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you? response:	He's not just talking tough. He's got assurance and absolute confidence in himself.
context: You're right!\Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself. response:	G- Goku...
context: Thanks to you, my eyes have been opened.\That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku... response:	Father...
context: That simple-celled fool! At this rate, it looks like I will have to step in.\It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father... response:	Son- kun, pound that guy into a pulpy mass!
