context: Death? response:	My death?
context: Death?\My death? response:	Sleigh Beggies are treasures, in that you create an unending supply of magic,
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic, response:	but your bodies are very fragile.
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile. response:	Just being alive, you relentlessly absorb and generate magic.
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic. response:	Eventually, your body will buckle.
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle. response:	You're well-versed in the matter, Alice.
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice. response:	Not really.
context: Death?\My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really. response:	He keeps you alive without taking any measures to help you out of danger,
context: My death?\Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger, response:	just to satiate his own curiosity.
context: Sleigh Beggies are treasures, in that you create an unending supply of magic,\but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity. response:	That dizziness...
context: but your bodies are very fragile.\Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness... response:	Chise-kun, he has no feelings.
context: Just being alive, you relentlessly absorb and generate magic.\Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings. response:	You can't expect human kindness from a sham of a human.
context: Eventually, your body will buckle.\You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human. response:	He bought you with money and tied you down with that thing.
context: You're well-versed in the matter, Alice.\Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing. response:	He has a tracking spell on it.
context: Not really.\He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it. response:	You must have suffered.
