context: Over here! Over here! response:	Hurry, you wimp!
context: Over here! Over here!\Hurry, you wimp! response:	Wait...
context: Over here! Over here!\Hurry, you wimp!\Wait... response:	We'll leave you behind, slowpoke!
context: Over here! Over here!\Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke! response:	I said wait...
context: Over here! Over here!\Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke!\I said wait... response:	I can't fly...
context: Over here! Over here!\Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke!\I said wait...\I can't fly... response:	Oh, is that them?
context: Over here! Over here!\Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke!\I said wait...\I can't fly...\Oh, is that them? response:	Excuse me. I'm with the Shinjuku Ward Office.
context: Over here! Over here!\Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke!\I said wait...\I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office. response:	Where have you come from?
context: Hurry, you wimp!\Wait...\We'll leave you behind, slowpoke!\I said wait...\I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from? response:	What's your name?
context: Wait...\We'll leave you behind, slowpoke!\I said wait...\I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name? response:	Where... Where?
context: We'll leave you behind, slowpoke!\I said wait...\I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name?\Where... Where? response:	Name? Name, huh?
context: I said wait...\I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name?\Where... Where?\Name? Name, huh? response:	Now, who was I?
context: I can't fly...\Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name?\Where... Where?\Name? Name, huh?\Now, who was I? response:	Storage 1
context: Oh, is that them?\Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name?\Where... Where?\Name? Name, huh?\Now, who was I?\Storage 1 response:	An Another with amnesia, huh?
context: Excuse me. I'm with the Shinjuku Ward Office.\Where have you come from?\What's your name?\Where... Where?\Name? Name, huh?\Now, who was I?\Storage 1\An Another with amnesia, huh? response:	So you just brought him here?
context: Where have you come from?\What's your name?\Where... Where?\Name? Name, huh?\Now, who was I?\Storage 1\An Another with amnesia, huh?\So you just brought him here? response:	Yeah. I wanted your opinions.
context: What's your name?\Where... Where?\Name? Name, huh?\Now, who was I?\Storage 1\An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions. response:	That doesn't mean you can just...
context: Where... Where?\Name? Name, huh?\Now, who was I?\Storage 1\An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just... response:	Sorry. But...
context: Name? Name, huh?\Now, who was I?\Storage 1\An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But... response:	I can't leave its side. But it's broken.
context: Now, who was I?\Storage 1\An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken. response:	My home is gone...
context: Storage 1\An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken.\My home is gone... response:	He's saying that the stone statue where he lives was broken.
context: An Another with amnesia, huh?\So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken. response:	Apparently, he can't leave it.
context: So you just brought him here?\Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it. response:	Some Anothers need a vessel to call home.
context: Yeah. I wanted your opinions.\That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home. response:	A vessel?
context: That doesn't mean you can just...\Sorry. But...\I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel? response:	So his vessel was broken, and he lost his memories, huh?
context: Sorry. But...\I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh? response:	It's no good. I'm getting nowhere.
context: I can't leave its side. But it's broken.\My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere. response:	Oh, dear...
context: My home is gone...\He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear... response:	Let's have a meeting, I guess?
context: He's saying that the stone statue where he lives was broken.\Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess? response:	All I can tell you is that it's part of a very old stone statue.
context: Apparently, he can't leave it.\Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue. response:	It's hard to say more with the equipment here.
context: Some Anothers need a vessel to call home.\A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here. response:	I'll scrape off a bit and have a guy I know at a university analyze it.
context: A vessel?\So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it. response:	This is a problem... If only we knew his name.
context: So his vessel was broken, and he lost his memories, huh?\It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name. response:	Okay, I'll go see if I can find clues
context: It's no good. I'm getting nowhere.\Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues response:	about what kind of Another he is, including his name.
context: Oh, dear...\Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name. response:	Sakaki-kun, you've got to go help your sister, right?
context: Let's have a meeting, I guess?\All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right? response:	Ah, y-yes...
