context: Love. response:	Iizuka was holding Manaka-san's things for her...
context: Love.\Iizuka was holding Manaka-san's things for her... response:	So obvious.
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious. response:	Jeez, Sayu, you always say stuff like that.
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that. response:	Manaka-san?
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san? response:	Hm?
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm? response:	Your face looks a little...
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm?\Your face looks a little... response:	Oh, it's Hikari.
context: Love.\Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm?\Your face looks a little...\Oh, it's Hikari. response:	Huh?
context: Iizuka was holding Manaka-san's things for her...\So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm?\Your face looks a little...\Oh, it's Hikari.\Huh? response:	Hii-kun!
context: So obvious.\Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm?\Your face looks a little...\Oh, it's Hikari.\Huh?\Hii-kun! response:	That's the sea slug's...
context: Jeez, Sayu, you always say stuff like that.\Manaka-san?\Hm?\Your face looks a little...\Oh, it's Hikari.\Huh?\Hii-kun!\That's the sea slug's... response:	Yep. Miuna-chan made it for me
context: Manaka-san?\Hm?\Your face looks a little...\Oh, it's Hikari.\Huh?\Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me response:	so I wouldn't lose it.
context: Hm?\Your face looks a little...\Oh, it's Hikari.\Huh?\Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it. response:	So you won't... lose it...
context: Your face looks a little...\Oh, it's Hikari.\Huh?\Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it... response:	The five years I've spent with you...
