context: I don't know what you're up to, response:	but why don't you do that for the living instead?
context: I don't know what you're up to,\but why don't you do that for the living instead? response:	You'd save more people that way.
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way. response:	It's not that easy to save people.
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people. response:	Still, what you're doing is a waste.
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste. response:	You're never getting anywhere with that.
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that. response:	What are you...
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you... response:	A ghoul?
context: I don't know what you're up to,\but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you...\A ghoul? response:	Help me... Why not you...?
context: but why don't you do that for the living instead?\You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you...\A ghoul?\Help me... Why not you...? response:	I'm sorry, but I don't know either.
context: You'd save more people that way.\It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you...\A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either. response:	Hyakkimaru...
context: It's not that easy to save people.\Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you...\A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru... response:	You... You're so...
context: Still, what you're doing is a waste.\You're never getting anywhere with that.\What are you...\A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so... response:	How terrifying you are.
context: You're never getting anywhere with that.\What are you...\A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so...\How terrifying you are. response:	Betrayed this world
context: What are you...\A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so...\How terrifying you are.\Betrayed this world response:	And it simmers within
context: A ghoul?\Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so...\How terrifying you are.\Betrayed this world\And it simmers within response:	Rupturing my innards
context: Help me... Why not you...?\I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so...\How terrifying you are.\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: I'm sorry, but I don't know either.\Hyakkimaru...\You... You're so...\How terrifying you are.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: Hyakkimaru...\You... You're so...\How terrifying you are.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: You... You're so...\How terrifying you are.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: How terrifying you are.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	17 The story of questions and answers
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers response:	It's real human skin.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers\It's real human skin. response:	You can smile now?
