context: Why, you-! response:	Where did you go, dammit!?
context: Why, you-!\Where did you go, dammit!? response:	Damn you...
context: Why, you-!\Where did you go, dammit!?\Damn you... response:	Where are you!? Come on out!
context: Why, you-!\Where did you go, dammit!?\Damn you...\Where are you!? Come on out! response:	Damn...
context: Why, you-!\Where did you go, dammit!?\Damn you...\Where are you!? Come on out!\Damn... response:	It's okay. There's no way he'll find us.
context: Why, you-!\Where did you go, dammit!?\Damn you...\Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us. response:	Having that old timer destroy those Scouter things really did save us.
context: Why, you-!\Where did you go, dammit!?\Damn you...\Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us. response:	If he still had one, he'd be able to locate even that little kid's Ki, after all.
context: Why, you-!\Where did you go, dammit!?\Damn you...\Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all. response:	Damn. How am I supposed to find those tiny little guys!? This is infuriating!
context: Where did you go, dammit!?\Damn you...\Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating! response:	Thank goodness. He's giving up and going back.
context: Damn you...\Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back. response:	I'll blow them away!
context: Where are you!? Come on out!\Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away! response:	See you in hell!
context: Damn...\It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell! response:	Take that. That's what you get for giving me a hard time.
context: It's okay. There's no way he'll find us.\Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time. response:	Freeza- sama told me to bring them back,
context: Having that old timer destroy those Scouter things really did save us.\If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back, response:	but I guess this is better than letting them get away.
