context: Aw, damn it. response:	If we had won yesterday, we'd be in a match right now.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now. response:	Now if only Karasuno can beat Shiratorizawa,
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa, response:	we'll look a little cool.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool. response:	No, we wouldn't.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't. response:	If their 10 wasn't there, we would have won.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won. response:	No, you mean the setter.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter. response:	That guy is insane.
context: Aw, damn it.\If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane. response:	I think it was the captain.
context: If we had won yesterday, we'd be in a match right now.\Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane.\I think it was the captain. response:	The one that was the most interesting was their 10 though.
context: Now if only Karasuno can beat Shiratorizawa,\we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though. response:	The captain, huh?
context: we'll look a little cool.\No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh? response:	Well, you've got a point.
context: No, we wouldn't.\If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point. response:	Sort of like the foundation that no one really notices?
context: If their 10 wasn't there, we would have won.\No, you mean the setter.\That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices? response:	Haikyu!!
context: No, you mean the setter.\That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!! response:	Sawamura-san!
