context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START = response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: = ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	Wolf and Careless Negotiations
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Careless Negotiations response:	I'm sorry!
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Careless Negotiations\I'm sorry! response:	I shouldn't have left you alone till dawn.
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn. response:	But it was fun for me as a trader!
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader! response:	Though I know you wouldn't accept that...
context: Shining eyes\Your singing voice\Let's share it\Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that... response:	It's narrow here.
context: Your singing voice\Let's share it\Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here. response:	Too narrow!
context: Let's share it\Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here.\Too narrow! response:	Well I won't deny that it's inconvenient,
context: Wolf and Careless Negotiations\I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient, response:	but I like this kind of messy place.
context: I'm sorry!\I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place. response:	Why's that?
context: I shouldn't have left you alone till dawn.\But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that? response:	It has a certain weight to it from the years it's been through.
context: But it was fun for me as a trader!\Though I know you wouldn't accept that...\It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through. response:	Like how a tool slowly changes shape over time,
context: Though I know you wouldn't accept that...\It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time, response:	after being used for a long time it becomes unrivaled.
context: It's narrow here.\Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled. response:	Like how the shape of a river changes with time?
context: Too narrow!\Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time? response:	Unfortunately, I don't really understand your analogy.
context: Well I won't deny that it's inconvenient,\but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time?\Unfortunately, I don't really understand your analogy. response:	Then how about a person's heart?
context: but I like this kind of messy place.\Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time?\Unfortunately, I don't really understand your analogy.\Then how about a person's heart? response:	You call it soul or something, right?
context: Why's that?\It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time?\Unfortunately, I don't really understand your analogy.\Then how about a person's heart?\You call it soul or something, right? response:	Soul, huh?
context: It has a certain weight to it from the years it's been through.\Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time?\Unfortunately, I don't really understand your analogy.\Then how about a person's heart?\You call it soul or something, right?\Soul, huh? response:	If you could pull it out and look at it, that might be a good analogy.
context: Like how a tool slowly changes shape over time,\after being used for a long time it becomes unrivaled.\Like how the shape of a river changes with time?\Unfortunately, I don't really understand your analogy.\Then how about a person's heart?\You call it soul or something, right?\Soul, huh?\If you could pull it out and look at it, that might be a good analogy. response:	Slowly being chipped away at, injured, and repaired,
