context: Good evening! response:	We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese! response:	We're good, thanks.
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks. response:	Oh, wait a minute, please!
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please! response:	The same last name as the former pope. Is that the Farnese Crest?
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest? response:	No way, right?
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right? response:	I wish to support Lord Theo in his divine battle to subdue the Chaos.
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos. response:	Please leave now.
context: Good evening!\We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now. response:	Company? Are you letting them in?
context: We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!\We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in? response:	It's a priestess from the Order of the Crest.
context: We're good, thanks.\Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest. response:	But they appear to have many followers.
context: Oh, wait a minute, please!\The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers. response:	And I hear they go around healing wounds and illness.
