context: Once upon a time, there was a man who died. response:	The story was interrupted and along with his heart,
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart, response:	the prince lost his kindness towards people
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people response:	and even his memories of having fought bravely.
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely. response:	And scattered throughout the town,
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town, response:	the shards of the prince's heart sought places to settle
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle response:	and found their way into the people's hearts who had voids in them.
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them. response:	Among those who were possessed by the shards
context: Once upon a time, there was a man who died.\The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards response:	were some who ended up making their own tales go awry.
context: The story was interrupted and along with his heart,\the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry. response:	I've really and truly become Princess Tutu.
context: the prince lost his kindness towards people\and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu. response:	'The Princess's Vow'
context: and even his memories of having fought bravely.\And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow' response:	Tuck your chin in!
context: And scattered throughout the town,\the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in! response:	What?
context: the shards of the prince's heart sought places to settle\and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in!\What? response:	This is no laughing matter!
context: and found their way into the people's hearts who had voids in them.\Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in!\What?\This is no laughing matter! response:	If you can't even do that, you'll never get out of the probationary class!
context: Among those who were possessed by the shards\were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in!\What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class! response:	Stop it!
context: were some who ended up making their own tales go awry.\I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in!\What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it! response:	Don't be so unreasonable!
context: I've really and truly become Princess Tutu.\'The Princess's Vow'\Tuck your chin in!\What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable! response:	Ahiru isn't capable of doing two things at the same time!
context: 'The Princess's Vow'\Tuck your chin in!\What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time! response:	She just has to walk with a book on her head!
context: Tuck your chin in!\What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head! response:	Even if it's something so easy, if she can't do it, she simply can't!
context: What?\This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't! response:	Then she'll never be able to become a prima ballerina!
context: This is no laughing matter!\If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina! response:	No, she won't! There's no way Ahiru could possibly become one!
context: If you can't even do that, you'll never get out of the probationary class!\Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one! response:	Don't say any more terrible things!
context: Stop it!\Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things! response:	Look at how hurt she is!
context: Don't be so unreasonable!\Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is! response:	Smile! Smile for me!
context: Ahiru isn't capable of doing two things at the same time!\She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me! response:	It's your fault.
context: She just has to walk with a book on her head!\Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me!\It's your fault. response:	No way!
context: Even if it's something so easy, if she can't do it, she simply can't!\Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me!\It's your fault.\No way! response:	But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?
context: Then she'll never be able to become a prima ballerina!\No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me!\It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning? response:	She's always been weird.
context: No, she won't! There's no way Ahiru could possibly become one!\Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me!\It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird. response:	I'm talking more than usual!
context: Don't say any more terrible things!\Look at how hurt she is!\Smile! Smile for me!\It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual! response:	Now that you mention it...
context: Look at how hurt she is!\Smile! Smile for me!\It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual!\Now that you mention it... response:	What?
context: Smile! Smile for me!\It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual!\Now that you mention it...\What? response:	Did something happen, I wonder?
context: It's your fault.\No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual!\Now that you mention it...\What?\Did something happen, I wonder? response:	No, not really.
context: No way!\But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual!\Now that you mention it...\What?\Did something happen, I wonder?\No, not really. response:	Liar!
context: But after getting dropped to the probationary class, isn't Ahiru acting weird, being all goofy smiley since morning?\She's always been weird.\I'm talking more than usual!\Now that you mention it...\What?\Did something happen, I wonder?\No, not really.\Liar! response:	Not that anything happened, but...
context: She's always been weird.\I'm talking more than usual!\Now that you mention it...\What?\Did something happen, I wonder?\No, not really.\Liar!\Not that anything happened, but... response:	So something DID happen!
context: I'm talking more than usual!\Now that you mention it...\What?\Did something happen, I wonder?\No, not really.\Liar!\Not that anything happened, but...\So something DID happen! response:	Uh, well...
context: Now that you mention it...\What?\Did something happen, I wonder?\No, not really.\Liar!\Not that anything happened, but...\So something DID happen!\Uh, well... response:	Spit it out.
context: What?\Did something happen, I wonder?\No, not really.\Liar!\Not that anything happened, but...\So something DID happen!\Uh, well...\Spit it out. response:	Uh, um, oh, yeah... a dream, it's about a dream I had.
context: Did something happen, I wonder?\No, not really.\Liar!\Not that anything happened, but...\So something DID happen!\Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had. response:	There's this really strong and handsome prince, but this prince is fighting against an evil raven.
context: No, not really.\Liar!\Not that anything happened, but...\So something DID happen!\Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven. response:	He can seal the raven away if he shatters his own heart,
