context: To us of the demon clan, twins are taboo. response:	Please wait, Chief!
context: To us of the demon clan, twins are taboo.\Please wait, Chief! response:	No! To protect our pride as a race,
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race, response:	we must dispose of them.
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them. response:	Such is the demon clan's custom!
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom! response:	It is our law!
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom!\It is our law! response:	This child is...
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom!\It is our law!\This child is... response:	She is a true prodigy.
context: To us of the demon clan, twins are taboo.\Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom!\It is our law!\This child is...\She is a true prodigy. response:	Such power, with only one horn!
context: Please wait, Chief!\No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom!\It is our law!\This child is...\She is a true prodigy.\Such power, with only one horn! response:	If she'd had two horns...
context: No! To protect our pride as a race,\we must dispose of them.\Such is the demon clan's custom!\It is our law!\This child is...\She is a true prodigy.\Such power, with only one horn!\If she'd had two horns... response:	Very good, Ram...
context: we must dispose of them.\Such is the demon clan's custom!\It is our law!\This child is...\She is a true prodigy.\Such power, with only one horn!\If she'd had two horns...\Very good, Ram... response:	Rem, follow your sister's example and work hard.
context: Such is the demon clan's custom!\It is our law!\This child is...\She is a true prodigy.\Such power, with only one horn!\If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard. response:	Don't worry.
context: It is our law!\This child is...\She is a true prodigy.\Such power, with only one horn!\If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry. response:	One day, Rem will show us that she has incredible power.
context: This child is...\She is a true prodigy.\Such power, with only one horn!\If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power. response:	You're right. She is Ram's sister, after all.
context: She is a true prodigy.\Such power, with only one horn!\If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all. response:	We expect great things.
context: Such power, with only one horn!\If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things. response:	Don't worry.
context: If she'd had two horns...\Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things.\Don't worry. response:	Sissy...
context: Very good, Ram...\Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things.\Don't worry.\Sissy... response:	Just be you, Rem.
