context: High Commander Fudo is gone? response:	He left a note.
context: High Commander Fudo is gone?\He left a note. response:	It seems he left early this morning.
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning. response:	To search for... the Legendary Aquarion?
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion? response:	Does he have a lead on it?
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it? response:	I don't know.
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know. response:	There may be something in the Book of Twin Stars, but...
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but... response:	The Book of Twin Stars?
context: High Commander Fudo is gone?\He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars? response:	Why are there so many holes?
context: He left a note.\It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes? response:	He's in this one!
context: It seems he left early this morning.\To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes?\He's in this one! response:	Not again. This one's really deep.
context: To search for... the Legendary Aquarion?\Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes?\He's in this one!\Not again. This one's really deep. response:	Andy!
context: Does he have a lead on it?\I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes?\He's in this one!\Not again. This one's really deep.\Andy! response:	What's the matter with him?
context: I don't know.\There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes?\He's in this one!\Not again. This one's really deep.\Andy!\What's the matter with him? response:	Why is he so depressed after he saving all of us?
context: There may be something in the Book of Twin Stars, but...\The Book of Twin Stars?\Why are there so many holes?\He's in this one!\Not again. This one's really deep.\Andy!\What's the matter with him?\Why is he so depressed after he saving all of us? response:	Andy dug us an awesome hot spring!
context: The Book of Twin Stars?\Why are there so many holes?\He's in this one!\Not again. This one's really deep.\Andy!\What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring! response:	What happened out there?
context: Why are there so many holes?\He's in this one!\Not again. This one's really deep.\Andy!\What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there? response:	Mix, do you have any idea?
context: He's in this one!\Not again. This one's really deep.\Andy!\What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea? response:	Nope! No idea! What could have possibly happened?
context: Not again. This one's really deep.\Andy!\What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened? response:	Oh no!
