context: Nothing. It's nothing. response:	Touko!
context: Nothing. It's nothing.\Touko! response:	What?
context: Nothing. It's nothing.\Touko!\What? response:	What's wrong, Onee-chan?
context: Nothing. It's nothing.\Touko!\What?\What's wrong, Onee-chan? response:	Touko-san?
context: Nothing. It's nothing.\Touko!\What?\What's wrong, Onee-chan?\Touko-san? response:	Touko?
context: Nothing. It's nothing.\Touko!\What?\What's wrong, Onee-chan?\Touko-san?\Touko? response:	Are you okay?
context: Nothing. It's nothing.\Touko!\What?\What's wrong, Onee-chan?\Touko-san?\Touko?\Are you okay? response:	I'll get them.
context: Nothing. It's nothing.\Touko!\What?\What's wrong, Onee-chan?\Touko-san?\Touko?\Are you okay?\I'll get them. response:	Don't go.
context: Touko!\What?\What's wrong, Onee-chan?\Touko-san?\Touko?\Are you okay?\I'll get them.\Don't go. response:	It's my fault.
context: What?\What's wrong, Onee-chan?\Touko-san?\Touko?\Are you okay?\I'll get them.\Don't go.\It's my fault. response:	No, I asked to watch your mom play piano, too.
context: What's wrong, Onee-chan?\Touko-san?\Touko?\Are you okay?\I'll get them.\Don't go.\It's my fault.\No, I asked to watch your mom play piano, too. response:	I couldn't hear anything.
context: Touko-san?\Touko?\Are you okay?\I'll get them.\Don't go.\It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything. response:	But you felt something strong enough to make you pass out.
context: Touko?\Are you okay?\I'll get them.\Don't go.\It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out. response:	So the experiment was a success?
context: Are you okay?\I'll get them.\Don't go.\It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success? response:	Maybe.
context: I'll get them.\Don't go.\It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe. response:	But I might have put you in danger.
context: Don't go.\It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe.\But I might have put you in danger. response:	I'm fine. Besides
context: It's my fault.\No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe.\But I might have put you in danger.\I'm fine. Besides response:	Whenever I try to stay in one place,
context: No, I asked to watch your mom play piano, too.\I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe.\But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place, response:	I get other people mixed up in my problems.
context: I couldn't hear anything.\But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe.\But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems. response:	Touko,
context: But you felt something strong enough to make you pass out.\So the experiment was a success?\Maybe.\But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko, response:	are you okay?
context: So the experiment was a success?\Maybe.\But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko,\are you okay? response:	I want to stay here a little longer.
context: Maybe.\But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko,\are you okay?\I want to stay here a little longer. response:	O-Onee-chan.
context: But I might have put you in danger.\I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko,\are you okay?\I want to stay here a little longer.\O-Onee-chan. response:	You're right. You should stay put a little longer.
context: I'm fine. Besides\Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko,\are you okay?\I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer. response:	I want to make beads when I get home.
context: Whenever I try to stay in one place,\I get other people mixed up in my problems.\Touko,\are you okay?\I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home. response:	Yeah?
context: I get other people mixed up in my problems.\Touko,\are you okay?\I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah? response:	Final Episode: Shooting Star
context: Touko,\are you okay?\I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star response:	Are you sure we should have left Onee-chan there?
context: are you okay?\I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there? response:	I'm sure.
context: I want to stay here a little longer.\O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure. response:	I wonder what happened to her, though.
context: O-Onee-chan.\You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though. response:	I wonder.
context: You're right. You should stay put a little longer.\I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though.\I wonder. response:	She's getting to that age.
context: I want to make beads when I get home.\Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though.\I wonder.\She's getting to that age. response:	What? Are you saying I'm the only kid here?
context: Yeah?\Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though.\I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here? response:	You're almost an adult, too.
context: Final Episode: Shooting Star\Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though.\I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too. response:	It'll happen before you know it.
context: Are you sure we should have left Onee-chan there?\I'm sure.\I wonder what happened to her, though.\I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it. response:	One more piece?
context: I'm sure.\I wonder what happened to her, though.\I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it.\One more piece? response:	Yes, please. I'll go home after that.
context: I wonder what happened to her, though.\I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that. response:	Are you sure?
