context: HALF response:	TS
context: HALF\TS response:	As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated response:	and are under attack by Secrets.
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets. response:	At this rate, even if we deploy our full strength,
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength, response:	we won't be able to prevent Scub Bursts at most of the Plants.
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants. response:	Therefore, we are commencing Operation Polaris.
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris. response:	Papa...
context: HALF\TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa... response:	We are going to utilize the powerful radiation released by the Quartz we have secured so far
context: TS\As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far response:	to gather the Secrets spread throughout the world in one place.
context: As of this moment, 18 plants, or 95 of the terrestrial plant corals have been reactivated\and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place. response:	By putting all the Quartz on a descending orbit,
context: and are under attack by Secrets.\At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit, response:	we are going to lure away the Secrets over a period of 36 hours,
context: At this rate, even if we deploy our full strength,\we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours, response:	and eventually crash the capsule at the North Pole.
context: we won't be able to prevent Scub Bursts at most of the Plants.\Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole. response:	As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...
context: Therefore, we are commencing Operation Polaris.\Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus... response:	The Secrets will be destroyed.
context: Papa...\We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed. response:	Can't you at least split them up into multiple groups?
context: We are going to utilize the powerful radiation released by the Quartz we have secured so far\to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups? response:	It won't be as effective if we lower the explosion's yield.
context: to gather the Secrets spread throughout the world in one place.\By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield. response:	We just can't lower our firepower.
context: By putting all the Quartz on a descending orbit,\we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower. response:	Anyway, could I ask you to do me a favor?
context: we are going to lure away the Secrets over a period of 36 hours,\and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor? response:	What is it?
context: and eventually crash the capsule at the North Pole.\As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it? response:	Seeing that you're stranded in South America anyway,
context: As the North Pole is uninhabited, we will allow the confluence explosion to occur, thus...\The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway, response:	could you buy me some coffee beans?
context: The Secrets will be destroyed.\Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans? response:	I can't drink this crap. It tastes like Starbucks.
context: Can't you at least split them up into multiple groups?\It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks. response:	Sorry for calling before you leave.
