context: If you're listening to this, then you're somehow related to Hei. response:	If the past hasn't changed, that is.
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is. response:	I don't understand it...
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it... response:	I'm not blaming you for shooting her.
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her. response:	Don't shoot, Suou!
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou! response:	What the hell?
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell? response:	I don't get it!
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell?\I don't get it! response:	Hey, are you okay?
context: If you're listening to this, then you're somehow related to Hei.\If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell?\I don't get it!\Hey, are you okay? response:	That sucked big time! Support, my ass!
context: If the past hasn't changed, that is.\I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell?\I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass! response:	No one wants that homo side-gag-character!
context: I don't understand it...\I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell?\I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character! response:	Really, they've got to be kidding us!
context: I'm not blaming you for shooting her.\Don't shoot, Suou!\What the hell?\I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us! response:	Just when I was in a good mood and everything was going right, shit had to happen!
context: Don't shoot, Suou!\What the hell?\I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen! response:	Yeah! That director won't be getting away with this that easily!
context: What the hell?\I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily! response:	H-Hey! Look!
context: I don't get it!\Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look! response:	Doesn't she look like her?
context: Hey, are you okay?\That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her? response:	You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.
context: That sucked big time! Support, my ass!\No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!. response:	You mean Caravaggio from that movie?
