context: Kochi kite hayaku! Kochi kite suguni! response:	Hurry over here! Come over here now!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now! response:	San-nin mou jishitsuwase
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase response:	We need all three of us!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us! response:	Jugyou no ato de Sensei ni Bye Bye!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye! response:	O!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O! response:	Say Bye Bye to the teacher after school!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school! response:	Taisou fuku wa motte kaeru
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru response:	Get my P.E uniform and go home!
context: Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home! response:	Koutei Shugo asobimasuka
context: San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka response:	Wanna play in the school yard?
context: We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard? response:	Demo demo datte iiwake shinai no
context: Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no response:	But but I won't make any excuses
context: O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses response:	Shukudai nante hottoko yo
context: Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo response:	Who cares about homework!
context: Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework! response:	Tetsudaushu to mawarimasu yo
context: Get my P.E uniform and go home!\Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo response:	Take turns on clean-up every week
context: Koutei Shugo asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week response:	Rando suruwa sou akai tsuyoi
context: Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi response:	Let's run a few rounds.
context: Demo demo datte iiwake shinai no\But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds. response:	chiku chiku attaku
context: But but I won't make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku response:	mitsu dara dete nijuukai mo yaru!
context: Shukudai nante hottoko yo\Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru! response:	If it's us three, then we can even do twenty!
context: Who cares about homework!\Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty! response:	houkago wa dashu!
context: Tetsudaushu to mawarimasu yo\Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu! response:	After school, you dash!
context: Take turns on clean-up every week\Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash! response:	Ah! Kore de wasurede genki dashite
context: Rando suruwa sou akai tsuyoi\Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite response:	And forget all about it!
context: Let's run a few rounds.\chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it! response:	Sen Nou!
context: chiku chiku attaku\mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it!\Sen Nou! response:	One, Two!
context: mitsu dara dete nijuukai mo yaru!\If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it!\Sen Nou!\One, Two! response:	Anosaa, ochiro sono ato mawaru!
context: If it's us three, then we can even do twenty!\houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it!\Sen Nou!\One, Two!\Anosaa, ochiro sono ato mawaru! response:	OO
context: houkago wa dashu!\After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it!\Sen Nou!\One, Two!\Anosaa, ochiro sono ato mawaru!\OO response:	Drop down low and round you go!
context: After school, you dash!\Ah! Kore de wasurede genki dashite\And forget all about it!\Sen Nou!\One, Two!\Anosaa, ochiro sono ato mawaru!\OO\Drop down low and round you go! response:	Koutei Dai-shugo!
