context: Are you really okay with making such a discussion just like that? response:	Are you really okay with deciding this so easily?
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily? response:	As I have already said, you have no business speaking up. The matter is settled.
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled. response:	As you insinuated, Kagari Atsuko is an outsider.
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider. response:	Yet despite that, she traveled a long distance simply to speak with you.
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you. response:	Diana, think it through! Aren't there any things you've left undone at Luna Nova?
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova? response:	There are none.
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none. response:	There is not.
context: Are you really okay with making such a discussion just like that?\Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not. response:	The family's patron beast, the white unicorn, indicates it with its horn
context: Are you really okay with deciding this so easily?\As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn response:	When the Gem of Venus obscures the horn's radiance,
context: As I have already said, you have no business speaking up. The matter is settled.\As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance, response:	When the Gem of Venus conceals the horn's radiance,
context: As you insinuated, Kagari Atsuko is an outsider.\Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance, response:	the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.
