context: Boobies, White Panties and Me response:	Don't move...
context: Boobies, White Panties and Me\Don't move... response:	I'm blushing...
context: Boobies, White Panties and Me\Don't move...\I'm blushing... response:	All done!
context: Boobies, White Panties and Me\Don't move...\I'm blushing...\All done! response:	Here!
context: Boobies, White Panties and Me\Don't move...\I'm blushing...\All done!\Here! response:	That was quick!
context: Boobies, White Panties and Me\Don't move...\I'm blushing...\All done!\Here!\That was quick! response:	Did you make me look cool?
context: Boobies, White Panties and Me\Don't move...\I'm blushing...\All done!\Here!\That was quick!\Did you make me look cool? response:	WHO IS THAT?!
context: Boobies, White Panties and Me\Don't move...\I'm blushing...\All done!\Here!\That was quick!\Did you make me look cool?\WHO IS THAT?! response:	H-Huh? Did I make the areola's too big?
context: Don't move...\I'm blushing...\All done!\Here!\That was quick!\Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big? response:	That's NOT the problem here!
context: I'm blushing...\All done!\Here!\That was quick!\Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here! response:	I tried real hard to use my imagination!
context: All done!\Here!\That was quick!\Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination! response:	This is WAY too imaginative, in a lot of places!
context: Here!\That was quick!\Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places! response:	You're supposed to draw me the way I actually look!
context: That was quick!\Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look! response:	And I worked so hard, too...
context: Did you make me look cool?\WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too... response:	Sheesh...
context: WHO IS THAT?!\H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh... response:	Sensei.
context: H-Huh? Did I make the areola's too big?\That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh...\Sensei. response:	You're underestimating Futaba's breast obsession.
context: That's NOT the problem here!\I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh...\Sensei.\You're underestimating Futaba's breast obsession. response:	That voice...Hitoha-chan?
context: I tried real hard to use my imagination!\This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh...\Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan? response:	Where? She's not here...
context: This is WAY too imaginative, in a lot of places!\You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh...\Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here... response:	Stop popping up from in between my legs!
context: You're supposed to draw me the way I actually look!\And I worked so hard, too...\Sheesh...\Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs! response:	And draw me, not the hamster.
context: And I worked so hard, too...\Sheesh...\Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster. response:	Forget that. You can't underestimate Futaba's breasts.
context: Sheesh...\Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts. response:	I'm not underestimating anything!
context: Sensei.\You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything! response:	Her obsession is abnormal.
context: You're underestimating Futaba's breast obsession.\That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal. response:	Normally she just goofs around all the time,
context: That voice...Hitoha-chan?\Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time, response:	but breasts are the one thing that she gets deadly serious about.
context: Where? She's not here...\Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about. response:	Paintings
context: Stop popping up from in between my legs!\And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings response:	She's a breast artisan,
context: And draw me, not the hamster.\Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan, response:	Clay sculptures
context: Forget that. You can't underestimate Futaba's breasts.\I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan,\Clay sculptures response:	tirelessly seeking to create the perfect representation of her ideal.
context: I'm not underestimating anything!\Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal. response:	Calligraphy
context: Her obsession is abnormal.\Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy response:	Sketches
context: Normally she just goofs around all the time,\but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches response:	Sometimes she gets so hard on herself she'll roam around aimlessly.
context: but breasts are the one thing that she gets deadly serious about.\Paintings\She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly. response:	Her refined breast creations are masterpieces, beautiful...
context: Paintings\She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful... response:	And sexy!
context: She's a breast artisan,\Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy! response:	SEXY
context: Clay sculptures\tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY response:	H-Hitoha-chan?
context: tirelessly seeking to create the perfect representation of her ideal.\Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY\H-Hitoha-chan? response:	Look!
context: Calligraphy\Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY\H-Hitoha-chan?\Look! response:	Look at her dedication.
context: Sketches\Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY\H-Hitoha-chan?\Look!\Look at her dedication. response:	So she's still drawing me with breasts?
context: Sometimes she gets so hard on herself she'll roam around aimlessly.\Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY\H-Hitoha-chan?\Look!\Look at her dedication.\So she's still drawing me with breasts? response:	Of course.
context: Her refined breast creations are masterpieces, beautiful...\And sexy!\SEXY\H-Hitoha-chan?\Look!\Look at her dedication.\So she's still drawing me with breasts?\Of course. response:	My hand slipped.
context: And sexy!\SEXY\H-Hitoha-chan?\Look!\Look at her dedication.\So she's still drawing me with breasts?\Of course.\My hand slipped. response:	It's still not done-
context: SEXY\H-Hitoha-chan?\Look!\Look at her dedication.\So she's still drawing me with breasts?\Of course.\My hand slipped.\It's still not done- response:	Would someone draw me normally?!
context: H-Hitoha-chan?\Look!\Look at her dedication.\So she's still drawing me with breasts?\Of course.\My hand slipped.\It's still not done-\Would someone draw me normally?! response:	What's that supposed to mean?!
context: Look!\Look at her dedication.\So she's still drawing me with breasts?\Of course.\My hand slipped.\It's still not done-\Would someone draw me normally?!\What's that supposed to mean?! response:	Done!
context: Look at her dedication.\So she's still drawing me with breasts?\Of course.\My hand slipped.\It's still not done-\Would someone draw me normally?!\What's that supposed to mean?!\Done! response:	Great.
context: So she's still drawing me with breasts?\Of course.\My hand slipped.\It's still not done-\Would someone draw me normally?!\What's that supposed to mean?!\Done!\Great. response:	What do you think?
context: Of course.\My hand slipped.\It's still not done-\Would someone draw me normally?!\What's that supposed to mean?!\Done!\Great.\What do you think? response:	A solid F-cup!
context: My hand slipped.\It's still not done-\Would someone draw me normally?!\What's that supposed to mean?!\Done!\Great.\What do you think?\A solid F-cup! response:	Don't hold it there!
context: It's still not done-\Would someone draw me normally?!\What's that supposed to mean?!\Done!\Great.\What do you think?\A solid F-cup!\Don't hold it there! response:	Fantastic!
context: Would someone draw me normally?!\What's that supposed to mean?!\Done!\Great.\What do you think?\A solid F-cup!\Don't hold it there!\Fantastic! response:	Mr. Principal?
context: What's that supposed to mean?!\Done!\Great.\What do you think?\A solid F-cup!\Don't hold it there!\Fantastic!\Mr. Principal? response:	What beautiful, natural curves.
context: Done!\Great.\What do you think?\A solid F-cup!\Don't hold it there!\Fantastic!\Mr. Principal?\What beautiful, natural curves. response:	Soft, gentle shading...the complexion of the areolas...
context: Great.\What do you think?\A solid F-cup!\Don't hold it there!\Fantastic!\Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas... response:	These are the ideal breasts I've sought these 55 long years, second daughter!
context: What do you think?\A solid F-cup!\Don't hold it there!\Fantastic!\Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter! response:	Mr. Principal!
context: A solid F-cup!\Don't hold it there!\Fantastic!\Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal! response:	Fantastic, wouldn't you say, Yabe-kun?
context: Don't hold it there!\Fantastic!\Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun? response:	Maybe you should put it somewhere else...
context: Fantastic!\Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else... response:	I think it's perfect...it has a reality to it beyond what any photo can show.
context: Mr. Principal?\What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show. response:	Yes, I think we can say these ARE real breasts.
context: What beautiful, natural curves.\Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts. response:	Oh! M-My apologies...
context: Soft, gentle shading...the complexion of the areolas...\These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies... response:	I-I can't help but agree though,
context: These are the ideal breasts I've sought these 55 long years, second daughter!\Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though, response:	I bet this is what it feels like to see a real woman!
context: Mr. Principal!\Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman! response:	Wow, you're good.
context: Fantastic, wouldn't you say, Yabe-kun?\Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good. response:	That's awesome, Middle!
context: Maybe you should put it somewhere else...\I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle! response:	They're looking, everyone in the school is staring at my picture!
context: I think it's perfect...it has a reality to it beyond what any photo can show.\Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture! response:	I changed my mind, this is embarrassing!
context: Yes, I think we can say these ARE real breasts.\Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing! response:	Stop looking at my boobies!
context: Oh! M-My apologies...\I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies! response:	Aww come on, it's not hurting anyone.
context: I-I can't help but agree though,\I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone. response:	Yeah, we wanna see more!
context: I bet this is what it feels like to see a real woman!\Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more! response:	We want more!
context: Wow, you're good.\That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more! response:	You're such a baby.
