context: I finally found... response:	the peace I lost so long ago.
context: I finally found...\the peace I lost so long ago. response:	I finally found...
context: I finally found...\the peace I lost so long ago.\I finally found... response:	the peace so long denied to me.
context: I finally found...\the peace I lost so long ago.\I finally found...\the peace so long denied to me. response:	And then he came and shattered it...
context: I finally found...\the peace I lost so long ago.\I finally found...\the peace so long denied to me.\And then he came and shattered it... response:	KAGURA!
context: I finally found...\the peace I lost so long ago.\I finally found...\the peace so long denied to me.\And then he came and shattered it...\KAGURA! response:	You...
context: I finally found...\the peace I lost so long ago.\I finally found...\the peace so long denied to me.\And then he came and shattered it...\KAGURA!\You... response:	You'll pay for this!
context: I finally found...\the peace I lost so long ago.\I finally found...\the peace so long denied to me.\And then he came and shattered it...\KAGURA!\You...\You'll pay for this! response:	Dammit, Izumo...
context: the peace I lost so long ago.\I finally found...\the peace so long denied to me.\And then he came and shattered it...\KAGURA!\You...\You'll pay for this!\Dammit, Izumo... response:	Silvie?
context: I finally found...\the peace so long denied to me.\And then he came and shattered it...\KAGURA!\You...\You'll pay for this!\Dammit, Izumo...\Silvie? response:	Silvie, my terrible smelly wench.
context: the peace so long denied to me.\And then he came and shattered it...\KAGURA!\You...\You'll pay for this!\Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench. response:	I'm not going to lose you.
context: And then he came and shattered it...\KAGURA!\You...\You'll pay for this!\Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you. response:	The world can burn first!
context: KAGURA!\You...\You'll pay for this!\Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first! response:	What?
context: You...\You'll pay for this!\Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first!\What? response:	Has the reaper come for me?
context: You'll pay for this!\Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first!\What?\Has the reaper come for me? response:	You think I'm the Grim Reaper?
context: Dammit, Izumo...\Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first!\What?\Has the reaper come for me?\You think I'm the Grim Reaper? response:	Sorry, the only reaper here...
context: Silvie?\Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first!\What?\Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here... response:	is you!
context: Silvie, my terrible smelly wench.\I'm not going to lose you.\The world can burn first!\What?\Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you! response:	It's part of their Machine Angel!
context: I'm not going to lose you.\The world can burn first!\What?\Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you!\It's part of their Machine Angel! response:	Why do I hear the pilot's voice?
context: The world can burn first!\What?\Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice? response:	Why do you think?
context: What?\Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think? response:	Because I'm you, and you're me!
context: Has the reaper come for me?\You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me! response:	And that's exactly why I'm going to make you pay for this!
context: You think I'm the Grim Reaper?\Sorry, the only reaper here...\is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this! response:	What?
