context: How'd your date go? response:	Uh...
context: How'd your date go?\Uh... response:	It ended before it even started?
context: How'd your date go?\Uh...\It ended before it even started? response:	What?
context: How'd your date go?\Uh...\It ended before it even started?\What? response:	I found it when I was going through some old albums.
context: How'd your date go?\Uh...\It ended before it even started?\What?\I found it when I was going through some old albums. response:	Are you Haru-kun?
context: How'd your date go?\Uh...\It ended before it even started?\What?\I found it when I was going through some old albums.\Are you Haru-kun? response:	Nice to meet you.
context: How'd your date go?\Uh...\It ended before it even started?\What?\I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you. response:	I'll be taking care of you from now on.
context: How'd your date go?\Uh...\It ended before it even started?\What?\I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on. response:	I'm your Aunt Kyoko.
context: Uh...\It ended before it even started?\What?\I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko. response:	What makes us human?
context: It ended before it even started?\What?\I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human? response:	Education,
context: What?\I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human?\Education, response:	language,
context: I found it when I was going through some old albums.\Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human?\Education,\language, response:	tool use, and
context: Are you Haru-kun?\Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human?\Education,\language,\tool use, and response:	love.
context: Nice to meet you.\I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human?\Education,\language,\tool use, and\love. response:	I know, Haru-kun.
context: I'll be taking care of you from now on.\I'm your Aunt Kyoko.\What makes us human?\Education,\language,\tool use, and\love.\I know, Haru-kun. response:	I'll cast a spell on you.
context: I'm your Aunt Kyoko.\What makes us human?\Education,\language,\tool use, and\love.\I know, Haru-kun.\I'll cast a spell on you. response:	Yoshida-kun?
context: What makes us human?\Education,\language,\tool use, and\love.\I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun? response:	Yo, class rep.
context: Education,\language,\tool use, and\love.\I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun?\Yo, class rep. response:	Whatcha up to?
context: language,\tool use, and\love.\I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun?\Yo, class rep.\Whatcha up to? response:	I have a meeting for the cultural festival.
context: tool use, and\love.\I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun?\Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival. response:	What about you, Yoshida-kun?
context: love.\I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun?\Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun? response:	Sunbathing Nagoya.
context: I know, Haru-kun.\I'll cast a spell on you.\Yoshida-kun?\Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya. response:	I don't think I've seen you since you asked about my balls.
context: I'll cast a spell on you.\Yoshida-kun?\Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls. response:	Don't mention that!
