context: Can you see them? response:	Sir.
context: Can you see them?\Sir. response:	I can't see them yet...
context: Can you see them?\Sir.\I can't see them yet... response:	Why are all the Octobrists so fearful of them?
context: Can you see them?\Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them? response:	Those northern freaks came many times...
context: Can you see them?\Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times... response:	but they have never breached this wall.
context: Can you see them?\Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall. response:	We've been driving them to the other side for hundreds of years.
context: Can you see them?\Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years. response:	We are the people of Carneades, the protectors of this wall.
context: Can you see them?\Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall. response:	What can those freaks do?!
context: Sir.\I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?! response:	Those soldiers are useless. They won't even last two days.
context: I can't see them yet...\Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days. response:	You're in charge here. I'm going to Kafet to check on the situation.
context: Why are all the Octobrists so fearful of them?\Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation. response:	Are you talking about those two old men?
