context: I was having a dream... response:	There! Look!
context: I was having a dream...\There! Look! response:	We were just there! Kyoto Station!
context: I was having a dream...\There! Look!\We were just there! Kyoto Station! response:	Whoa, seriously?
context: I was having a dream...\There! Look!\We were just there! Kyoto Station!\Whoa, seriously? response:	A dream about the day we first met.
context: I was having a dream...\There! Look!\We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met. response:	The Q uintessential Ouintuplets SS
context: I was having a dream...\There! Look!\We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS response:	The Ouintessential Ouintuplets SS
context: I was having a dream...\There! Look!\We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS response:	The Qu i ntessential Ouintuplets SS
context: I was having a dream...\There! Look!\We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS response:	The Quintessent i al Ouintuplets SS
context: There! Look!\We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS response:	The Quintessential Quintuplets SS
context: We were just there! Kyoto Station!\Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS response:	The Quintessential Ou i ntuplets SS
context: Whoa, seriously?\A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS response:	The Quintessential Ouintuplets SS
context: A dream about the day we first met.\The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS response:	The Quintessential Ouintuplets SS
context: The Q uintessential Ouintuplets SS\The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS response:	Quite the Crappy Kyoto Quagmire
context: The Ouintessential Ouintuplets SS\The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire response:	Ouite the Crappy Kyoto Quagmire
context: The Qu i ntessential Ouintuplets SS\The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire response:	Qu ite the Crapp y K yoto Quagm ire
context: The Quintessent i al Ouintuplets SS\The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire response:	School camp was one disaster after another.
context: The Quintessential Quintuplets SS\The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another. response:	And then my mild cold turned into a full-blown flu.
context: The Quintessential Ou i ntuplets SS\The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu. response:	It all ended with me going straight to the hospital.
context: The Quintessential Ouintuplets SS\The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital. response:	And I get the feeling...
context: The Quintessential Ouintuplets SS\Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling... response:	they came to pay me a visit back then.
context: Quite the Crappy Kyoto Quagmire\Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then. response:	Nah, no way.
context: Ouite the Crappy Kyoto Quagmire\Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then.\Nah, no way. response:	Nino.
context: Qu ite the Crapp y K yoto Quagm ire\School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then.\Nah, no way.\Nino. response:	There's no one else here, is there?
context: School camp was one disaster after another.\And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then.\Nah, no way.\Nino.\There's no one else here, is there? response:	Wh-What? This is my room.
context: And then my mild cold turned into a full-blown flu.\It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then.\Nah, no way.\Nino.\There's no one else here, is there?\Wh-What? This is my room. response:	What do you care?
context: It all ended with me going straight to the hospital.\And I get the feeling...\they came to pay me a visit back then.\Nah, no way.\Nino.\There's no one else here, is there?\Wh-What? This is my room.\What do you care? response:	Who do you think is paying for it?
context: And I get the feeling...\they came to pay me a visit back then.\Nah, no way.\Nino.\There's no one else here, is there?\Wh-What? This is my room.\What do you care?\Who do you think is paying for it? response:	It didn't have to be such a fancy single bed room.
context: they came to pay me a visit back then.\Nah, no way.\Nino.\There's no one else here, is there?\Wh-What? This is my room.\What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room. response:	The nurses are gossiping about how I may be the hospital director's bastard son.
context: Nah, no way.\Nino.\There's no one else here, is there?\Wh-What? This is my room.\What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son. response:	What did you expect?
