context: What? response:	What's wrong, Maka?
context: What?\What's wrong, Maka? response:	This wavelength of madness...
context: What?\What's wrong, Maka?\This wavelength of madness... response:	The Kishin was resurrected?
context: What?\What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected? response:	What about Black Star and the others?
context: What?\What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others? response:	I can't tell...
context: What?\What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others?\I can't tell... response:	I'm being distracted by the madness. I can't feel their wavelengths.
context: What?\What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths. response:	Let's hurry!
context: What?\What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry! response:	A Battle Between Gods.
context: What's wrong, Maka?\This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods. response:	Death City's in Danger of Collapsing?
context: This wavelength of madness...\The Kishin was resurrected?\What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing? response:	W-What? At Eruka...?
context: The Kishin was resurrected?\What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...? response:	He's shocked...
context: What about Black Star and the others?\I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked... response:	Shut up...
context: I can't tell...\I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked...\Shut up... response:	Black Star.
context: I'm being distracted by the madness. I can't feel their wavelengths.\Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked...\Shut up...\Black Star. response:	He's... the Kishin?
context: Let's hurry!\A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked...\Shut up...\Black Star.\He's... the Kishin? response:	Tsubaki, Demon Blade Mode.
context: A Battle Between Gods.\Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked...\Shut up...\Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode. response:	I'll kill him while he's still getting up!
context: Death City's in Danger of Collapsing?\W-What? At Eruka...?\He's shocked...\Shut up...\Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up! response:	Impossible.
context: W-What? At Eruka...?\He's shocked...\Shut up...\Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible. response:	Your body's already worn out...
context: He's shocked...\Shut up...\Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible.\Your body's already worn out... response:	If we use Demon Blade any further, I'll begin tearing at your soul!
