context: Painful Countdown response:	Here.
context: Painful Countdown\Here. response:	This rod's 37,500 yen.
context: Painful Countdown\Here.\This rod's 37,500 yen. response:	For the first time, I was trying to buy
context: Painful Countdown\Here.\This rod's 37,500 yen.\For the first time, I was trying to buy response:	something with money I had earned myself.
context: Painful Countdown\Here.\This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself. response:	The reel's 33,000 yen.
context: Painful Countdown\Here.\This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen. response:	The cap's 3,500 yen.
context: Painful Countdown\Here.\This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen. response:	It's 10,000 yen for the polarized glasses.
context: Painful Countdown\Here.\This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses. response:	With the rest of your wear and life jacket...
context: Here.\This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket... response:	Salary
context: This rod's 37,500 yen.\For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary response:	Will I have enough?
context: For the first time, I was trying to buy\something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary\Will I have enough? response:	All together, your total comes to 102,500 yen.
context: something with money I had earned myself.\The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary\Will I have enough?\All together, your total comes to 102,500 yen. response:	I'll give you a discount and make it an even 100,000.
context: The reel's 33,000 yen.\The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary\Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000. response:	Thank you for your purchase.
context: The cap's 3,500 yen.\It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary\Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase. response:	Most of my pay's gone...
context: It's 10,000 yen for the polarized glasses.\With the rest of your wear and life jacket...\Salary\Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone... response:	but now I can finally assemble my own tackle.
context: With the rest of your wear and life jacket...\Salary\Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle. response:	That's great, Yuki.
context: Salary\Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki. response:	Yeah.
context: Will I have enough?\All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah. response:	Haru, you're not going to buy anything?
context: All together, your total comes to 102,500 yen.\I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah.\Haru, you're not going to buy anything? response:	Huh?
context: I'll give you a discount and make it an even 100,000.\Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah.\Haru, you're not going to buy anything?\Huh? response:	Yeah, you should buy something.
context: Thank you for your purchase.\Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah.\Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something. response:	You got paid to work, too.
context: Most of my pay's gone...\but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah.\Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something.\You got paid to work, too. response:	I won't fish any more.
context: but now I can finally assemble my own tackle.\That's great, Yuki.\Yeah.\Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something.\You got paid to work, too.\I won't fish any more. response:	Why not?
context: That's great, Yuki.\Yeah.\Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something.\You got paid to work, too.\I won't fish any more.\Why not? response:	Because fishing is lame.
context: Yeah.\Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something.\You got paid to work, too.\I won't fish any more.\Why not?\Because fishing is lame. response:	And the ocean's dangerous.
context: Haru, you're not going to buy anything?\Huh?\Yeah, you should buy something.\You got paid to work, too.\I won't fish any more.\Why not?\Because fishing is lame.\And the ocean's dangerous. response:	I'm not interested at all.
context: Huh?\Yeah, you should buy something.\You got paid to work, too.\I won't fish any more.\Why not?\Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all. response:	No more fishing! Forbidden!
context: Yeah, you should buy something.\You got paid to work, too.\I won't fish any more.\Why not?\Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden! response:	Absolutely not!
context: You got paid to work, too.\I won't fish any more.\Why not?\Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden!\Absolutely not! response:	What are you talking about?
context: I won't fish any more.\Why not?\Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden!\Absolutely not!\What are you talking about? response:	You're the one who said we should fish.
context: Why not?\Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden!\Absolutely not!\What are you talking about?\You're the one who said we should fish. response:	No fishing for you, Yuki.
context: Because fishing is lame.\And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden!\Absolutely not!\What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki. response:	What are you doing? Stop that.
