context: The truth is... response:	Honestly, I wasn't going to play volleyball in high school.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school. response:	Sports have always been the only thing I was good at.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at. response:	I'd get better records in track or swimming than kids on the teams.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams. response:	I'd end up qualifying for meets.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets. response:	I earned a lot of resentment.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment. response:	I just liked moving my body.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body. response:	But the harder I tried, the more I hurt people.
context: The truth is...\Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people. response:	Even on the volleyball team I joined in junior high,
context: Honestly, I wasn't going to play volleyball in high school.\Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high, response:	if I scored,
context: Sports have always been the only thing I was good at.\I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored, response:	everyone acted like that was expected.
context: I'd get better records in track or swimming than kids on the teams.\I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected. response:	I was always left out.
context: I'd end up qualifying for meets.\I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected.\I was always left out. response:	Kaizaki-kun, you asked me the other day
context: I earned a lot of resentment.\I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day response:	why I didn't go to a school with a better volleyball team.
context: I just liked moving my body.\But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team. response:	I just got sick of it in junior high,
context: But the harder I tried, the more I hurt people.\Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high, response:	so I turned down offers from all powerhouse teams.
context: Even on the volleyball team I joined in junior high,\if I scored,\everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams. response:	But I still wanted to play something,
context: if I scored,\everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something, response:	so I came to check out the volleyball team, hoping against hope.
