context: Why am I in this crowd? response:	No no, if I make it through there's a mountain of dojinshi waiting for me.
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me. response:	Based on the ones I saw in Akihabara and in the club office...
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office... response:	Sasahara.
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara. response:	Sasahara.
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara. response:	This is your first Comic Fest?
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara.\This is your first Comic Fest? response:	Uh, yeah...
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara.\This is your first Comic Fest?\Uh, yeah... response:	You look tired, are you okay?
context: Why am I in this crowd?\No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara.\This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay? response:	Yeah, I'm okay...
context: No no, if I make it through there's a mountain of dojinshi waiting for me.\Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara.\This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay... response:	I've just been over-excited since yesterday, and it's worn me out...
context: Based on the ones I saw in Akihabara and in the club office...\Sasahara.\Sasahara.\This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out... response:	It's still too early to be tired.
context: Sasahara.\Sasahara.\This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired. response:	That's true...
context: Sasahara.\This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true... response:	Kohsaka stands out...
context: This is your first Comic Fest?\Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true...\Kohsaka stands out... response:	But still...
context: Uh, yeah...\You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true...\Kohsaka stands out...\But still... response:	Is it 100 otaku in here?
context: You look tired, are you okay?\Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true...\Kohsaka stands out...\But still...\Is it 100 otaku in here? response:	Genshiken
context: Yeah, I'm okay...\I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true...\Kohsaka stands out...\But still...\Is it 100 otaku in here?\Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
