context: ED response:	Man, this week's storyboard is good too.
context: ED\Man, this week's storyboard is good too. response:	Your enthusiasm really shines through.
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through. response:	Never mind that.
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that. response:	How did I do in the rankings this week?
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week? response:	CROW came in 1st again.
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week?\CROW came in 1st again. response:	Is that so?
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week?\CROW came in 1st again.\Is that so? response:	I'll keep working hard and come in 1st next week, too.
context: ED\Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week?\CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too. response:	CROW's been ranked 1st three weeks in a row.
context: Man, this week's storyboard is good too.\Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week?\CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row. response:	Niizuma is incredible.
context: Your enthusiasm really shines through.\Never mind that.\How did I do in the rankings this week?\CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible. response:	Yeah.
context: Never mind that.\How did I do in the rankings this week?\CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah. response:	Catching up to him won't be as easy as we made it sound.
context: How did I do in the rankings this week?\CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound. response:	Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.
context: CROW came in 1st again.\Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately. response:	Seriously?!
context: Is that so?\I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?! response:	His storyboards?!
context: I'll keep working hard and come in 1st next week, too.\CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?! response:	Yeah. He's been working on them for days on end.
context: CROW's been ranked 1st three weeks in a row.\Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end. response:	I wonder what happened.
context: Niizuma is incredible.\Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened. response:	Maybe he's trying to egg us on?
context: Yeah.\Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on? response:	Well, knowing that CROW is ranked 1st does make me feel more motivated...
context: Catching up to him won't be as easy as we made it sound.\Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated... response:	See?
context: Apparently, Niizuma's been devoting a lot of time into revising his storyboards lately.\Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See? response:	It's Niizuma's way of lighting a fire under us!
context: Seriously?!\His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us! response:	Yeah!
context: His storyboards?!\Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us!\Yeah! response:	We've gotta surpass him in the rankings and return the favor!
context: Yeah. He's been working on them for days on end.\I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor! response:	Yeah!
context: I wonder what happened.\Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah! response:	Here's CROW and NATURAL's manuscripts.
context: Maybe he's trying to egg us on?\Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts. response:	Thank you!
context: Well, knowing that CROW is ranked 1st does make me feel more motivated...\See?\It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you! response:	Nothing has changed this week, either.
context: See?\It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either. response:	Was I worrying too much?
context: It's Niizuma's way of lighting a fire under us!\Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either.\Was I worrying too much? response:	It's a seven year old promise, after all.
context: Yeah!\We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all. response:	Um, Niizuma, congrats on CROW coming in 1st.
context: We've gotta surpass him in the rankings and return the favor!\Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st. response:	Thank you.
context: Yeah!\Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you. response:	Think you can do something about NATURAL, too?
context: Here's CROW and NATURAL's manuscripts.\Thank you!\Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too? response:	I haven't been slacking on the art. What's the problem?
context: Thank you!\Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem? response:	There's nothing wrong with the art.
context: Nothing has changed this week, either.\Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art. response:	But it's dropped in the rankings ever since the anime ended,
context: Was I worrying too much?\It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended, response:	and this week it's 10th.
context: It's a seven year old promise, after all.\Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th. response:	I know you're doing the art for both, but...
context: Um, Niizuma, congrats on CROW coming in 1st.\Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but... response:	It's because the story for NATURAL isn't interesting.
context: Thank you.\Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting. response:	I'm not the story writer.
context: Think you can do something about NATURAL, too?\I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer. response:	If you want it to be popular,
context: I haven't been slacking on the art. What's the problem?\There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular, response:	you and Akina have to make the story compelling.
