context: Sis, please pass the soy sauce. response:	Stand up, then reach out and get it yourself.
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself. response:	Err... I guess I don't need soy sauce today.
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today. response:	What's with this prickly mood in here?
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here? response:	Kagome, I don't know what happened over there...
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there... response:	but it's been so long since we sat down to breakfast together.
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together. response:	So why don't you cheer up, and smile up, and talk up a storm?
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm? response:	Gramps... wrong move.
context: Sis, please pass the soy sauce.\Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move. response:	Excuse me!
context: Stand up, then reach out and get it yourself.\Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me! response:	Oh boy, what's the matter with that girl?
context: Err... I guess I don't need soy sauce today.\What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl? response:	I wouldn't worry. See... an upright tea stem!
context: What's with this prickly mood in here?\Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem! response:	It seems so long since I came to school.
