context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START = response:	Approved
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	That's true, but
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\That's true, but response:	Wolf and Hope and Despair
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\That's true, but\Wolf and Hope and Despair response:	The truth is, I'm looking for someone with a stock of pyrite.
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite. response:	Pyrite?
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite? response:	Yes.
context: Shining eyes\Your singing voice\Let's share it\That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes. response:	Dont you remember what I said about Amartys method of making money?
context: Your singing voice\Let's share it\That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money? response:	Of course I do.
context: Let's share it\That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do. response:	It would be too pitiable for Amarty if I were to help you too much...
context: That's true, but\Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much... response:	Not only that.
context: Wolf and Hope and Despair\The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that. response:	I also remember that Deanna dislikes business talk.
context: The truth is, I'm looking for someone with a stock of pyrite.\Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk. response:	I thought this was going to be business talk.
context: Pyrite?\Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk. response:	You're kidding.
context: Yes.\Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding. response:	But I have to know, no matter what
context: Dont you remember what I said about Amartys method of making money?\Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what response:	how to get Deanna to help me.
context: Of course I do.\It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what\how to get Deanna to help me. response:	Are you after the alchemists' stockpile?
context: It would be too pitiable for Amarty if I were to help you too much...\Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile? response:	That's right.
context: Not only that.\I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile?\That's right. response:	Because it's so profitable?
context: I also remember that Deanna dislikes business talk.\I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile?\That's right.\Because it's so profitable? response:	No, that's not it.
context: I thought this was going to be business talk.\You're kidding.\But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile?\That's right.\Because it's so profitable?\No, that's not it. response:	Then you want to know your future, or heal some illness?
context: You're kidding.\But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile?\That's right.\Because it's so profitable?\No, that's not it.\Then you want to know your future, or heal some illness? response:	It's for my own personal gain.
context: But I have to know, no matter what\how to get Deanna to help me.\Are you after the alchemists' stockpile?\That's right.\Because it's so profitable?\No, that's not it.\Then you want to know your future, or heal some illness?\It's for my own personal gain. response:	I don't deny it.
