context: Typhoon 13 is maintaining its extremely strong force response:	as it continues making its way up north.
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north. response:	The storm area struck South Daitou Island last night at around 11 p.m.
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m. response:	As of now, the effect on transportation in all areas...
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas... response:	Daikichi!
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi! response:	The TV says the Shinkansen is pooping!
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping! response:	Not pooping! Operating!
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating! response:	Pooping?
context: Typhoon 13 is maintaining its extremely strong force\as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping? response:	Operating!
context: as it continues making its way up north.\The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping?\Operating! response:	They probably said, The Shinkansen is operating on normal schedules.
context: The storm area struck South Daitou Island last night at around 11 p.m.\As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules. response:	That means it's running same as usual.
context: As of now, the effect on transportation in all areas...\Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual. response:	The Shinkansen is pooping!
context: Daikichi!\The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping! response:	I'm gonna go poop!
context: The TV says the Shinkansen is pooping!\Not pooping! Operating!\Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop! response:	Jeez...
context: Not pooping! Operating!\Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop!\Jeez... response:	Typhoon 13 has changed course and is gradually moving east,
context: Pooping?\Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east, response:	where it's expected to make landfall in the Tokai area
context: Operating!\They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area response:	sometime between this evening and tonight.
context: They probably said, The Shinkansen is operating on normal schedules.\That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight. response:	She said there's a typhoon!
context: That means it's running same as usual.\The Shinkansen is pooping!\I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon! response:	It's all right. Typhoons come every year...
context: The Shinkansen is pooping!\I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year... response:	Daikichi!
context: I'm gonna go poop!\Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi! response:	Are you out of TP?!
context: Jeez...\Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?! response:	You should see how much I'm making!
context: Typhoon 13 has changed course and is gradually moving east,\where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?!\You should see how much I'm making! response:	Bring a ruler!
context: where it's expected to make landfall in the Tokai area\sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?!\You should see how much I'm making!\Bring a ruler! response:	Boys are notoriously childish, but...
context: sometime between this evening and tonight.\She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?!\You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but... response:	I can empathize.
context: She said there's a typhoon!\It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?!\You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but...\I can empathize. response:	I dunno about tomorrow.
context: It's all right. Typhoons come every year...\Daikichi!\Are you out of TP?!\You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: Daikichi!\Are you out of TP?!\You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: Are you out of TP?!\You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: You should see how much I'm making!\Bring a ruler!\Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: Bring a ruler!\Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: Boys are notoriously childish, but...\I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: I can empathize.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	I'll pick you up early today.
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today. response:	Okay!
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today.\Okay! response:	Kouki-kun, let's go!
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today.\Okay!\Kouki-kun, let's go! response:	Awesome, right?!
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today.\Okay!\Kouki-kun, let's go!\Awesome, right?! response:	We're gonna be late.
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today.\Okay!\Kouki-kun, let's go!\Awesome, right?!\We're gonna be late. response:	See ya later!
context: And those days will be happy, too!\Just wanna make you happy!\I'll pick you up early today.\Okay!\Kouki-kun, let's go!\Awesome, right?!\We're gonna be late.\See ya later! response:	If you leave just enough space for the circles,
context: Just wanna make you happy!\I'll pick you up early today.\Okay!\Kouki-kun, let's go!\Awesome, right?!\We're gonna be late.\See ya later!\If you leave just enough space for the circles, response:	it means you've written it in a cool way.
context: I'll pick you up early today.\Okay!\Kouki-kun, let's go!\Awesome, right?!\We're gonna be late.\See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way. response:	Got it?
context: Okay!\Kouki-kun, let's go!\Awesome, right?!\We're gonna be late.\See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it? response:	Sensei, how much is just enough?
context: Kouki-kun, let's go!\Awesome, right?!\We're gonna be late.\See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it?\Sensei, how much is just enough? response:	Um...
context: Awesome, right?!\We're gonna be late.\See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it?\Sensei, how much is just enough?\Um... response:	How many centimeters? How many millimeters?
context: We're gonna be late.\See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it?\Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters? response:	You don't have to draw these circles!
context: See ya later!\If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it?\Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters?\You don't have to draw these circles! response:	Okay!
context: If you leave just enough space for the circles,\it means you've written it in a cool way.\Got it?\Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay! response:	All right, the rest will be your homework.
context: it means you've written it in a cool way.\Got it?\Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay!\All right, the rest will be your homework. response:	For the next activity, all the first-graders are going to draw.
context: Got it?\Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw. response:	Meet up outside in front of your own morning glory.
context: Sensei, how much is just enough?\Um...\How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory. response:	Do you understand?
context: Um...\How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand? response:	Yes!
context: How many centimeters? How many millimeters?\You don't have to draw these circles!\Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand?\Yes! response:	Sandbags are that heavy?!
context: You don't have to draw these circles!\Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand?\Yes!\Sandbags are that heavy?! response:	It's still morning and I'm already beat...
context: Okay!\All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand?\Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat... response:	And it had to be on a day like today that we've got tons of samples to ship...
context: All right, the rest will be your homework.\For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand?\Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship... response:	Thank you.
context: For the next activity, all the first-graders are going to draw.\Meet up outside in front of your own morning glory.\Do you understand?\Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you. response:	What's that?
context: Meet up outside in front of your own morning glory.\Do you understand?\Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that? response:	My kids' educational insurance...
context: Do you understand?\Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that?\My kids' educational insurance... response:	Your kids are still babies!
context: Yes!\Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that?\My kids' educational insurance...\Your kids are still babies! response:	If I waited'til they got bigger, the insurance wouldn't mean a thing.
context: Sandbags are that heavy?!\It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that?\My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing. response:	G-Good point.
context: It's still morning and I'm already beat...\And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that?\My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point. response:	We're enrolled too.
