context: So you've brought her. response:	K-Kagome...
context: So you've brought her.\K-Kagome... response:	I did it! I win.
context: So you've brought her.\K-Kagome...\I did it! I win. response:	Banzai!
context: So you've brought her.\K-Kagome...\I did it! I win.\Banzai! response:	- Banzai! - Wrong one...
context: So you've brought her.\K-Kagome...\I did it! I win.\Banzai!\- Banzai! - Wrong one... response:	You're really good, Kagome.
context: So you've brought her.\K-Kagome...\I did it! I win.\Banzai!\- Banzai! - Wrong one...\You're really good, Kagome. response:	Miroku, I'm disappointed in you.
context: So you've brought her.\K-Kagome...\I did it! I win.\Banzai!\- Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you. response:	These karuta cards are so fascinating.
context: So you've brought her.\K-Kagome...\I did it! I win.\Banzai!\- Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating. response:	They're not karuta. We call it trumps. (playing cards)
context: K-Kagome...\I did it! I win.\Banzai!\- Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards) response:	Torampu?
context: I did it! I win.\Banzai!\- Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu? response:	Trumps.
context: Banzai!\- Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps. response:	Cut out the racket!
context: - Banzai! - Wrong one...\You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps.\Cut out the racket! response:	Can't you play quietly?
context: You're really good, Kagome.\Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps.\Cut out the racket!\Can't you play quietly? response:	Say Inuyasha, come and join us.
context: Miroku, I'm disappointed in you.\These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps.\Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us. response:	Not interested!
context: These karuta cards are so fascinating.\They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps.\Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us.\Not interested! response:	Why's he so angry?
context: They're not karuta. We call it trumps. (playing cards)\Torampu?\Trumps.\Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us.\Not interested!\Why's he so angry? response:	He's in a bad mood.
context: Torampu?\Trumps.\Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us.\Not interested!\Why's he so angry?\He's in a bad mood. response:	Inuyasha!
context: Trumps.\Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us.\Not interested!\Why's he so angry?\He's in a bad mood.\Inuyasha! response:	Sulking won't make Tetsusaiga any stronger.
context: Cut out the racket!\Can't you play quietly?\Say Inuyasha, come and join us.\Not interested!\Why's he so angry?\He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger. response:	Shaddup! I'm not!
context: Can't you play quietly?\Say Inuyasha, come and join us.\Not interested!\Why's he so angry?\He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not! response:	Naraku's barrier...
context: Say Inuyasha, come and join us.\Not interested!\Why's he so angry?\He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier... response:	Until he's able to break the barrier, we can't even touch Naraku.
context: Not interested!\Why's he so angry?\He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku. response:	Wind Scar!
context: Why's he so angry?\He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar! response:	The Wind Scar had no effect.
context: He's in a bad mood.\Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect. response:	I told you...
context: Inuyasha!\Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect.\I told you... response:	I continue to grow stronger.
context: Sulking won't make Tetsusaiga any stronger.\Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect.\I told you...\I continue to grow stronger. response:	It's a problem, all right.
context: Shaddup! I'm not!\Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect.\I told you...\I continue to grow stronger.\It's a problem, all right. response:	What'll you do?
context: Naraku's barrier...\Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect.\I told you...\I continue to grow stronger.\It's a problem, all right.\What'll you do? response:	Have you any ideas?
context: Until he's able to break the barrier, we can't even touch Naraku.\Wind Scar!\The Wind Scar had no effect.\I told you...\I continue to grow stronger.\It's a problem, all right.\What'll you do?\Have you any ideas? response:	Knew it! You haven't got a clue!
context: Wind Scar!\The Wind Scar had no effect.\I told you...\I continue to grow stronger.\It's a problem, all right.\What'll you do?\Have you any ideas?\Knew it! You haven't got a clue! response:	Shouldn't have gotten my hopes up.
context: The Wind Scar had no effect.\I told you...\I continue to grow stronger.\It's a problem, all right.\What'll you do?\Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up. response:	Hey you guys!
context: I told you...\I continue to grow stronger.\It's a problem, all right.\What'll you do?\Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys! response:	Leave it to me.
context: I continue to grow stronger.\It's a problem, all right.\What'll you do?\Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me. response:	Huh?
context: It's a problem, all right.\What'll you do?\Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me.\Huh? response:	Inuyasha!
context: What'll you do?\Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me.\Huh?\Inuyasha! response:	Old Myoga...
context: Have you any ideas?\Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me.\Huh?\Inuyasha!\Old Myoga... response:	I know how to handle Naraku's barrier.
context: Knew it! You haven't got a clue!\Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me.\Huh?\Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier. response:	You know something?
context: Shouldn't have gotten my hopes up.\Hey you guys!\Leave it to me.\Huh?\Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier.\You know something? response:	I hurried over just to tell you.
context: Hey you guys!\Leave it to me.\Huh?\Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you. response:	Tell me!
context: Leave it to me.\Huh?\Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you.\Tell me! response:	And I'll let you suck all the blood you want outta Kagome.
context: Huh?\Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome. response:	Why me?!
context: Inuyasha!\Old Myoga...\I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?! response:	This is no time for jokes, Inuyasha.
context: Old Myoga...\I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha. response:	You must go immediately to the nest of the Demon Bats.
context: I know how to handle Naraku's barrier.\You know something?\I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats. response:	Demon Bats?
context: You know something?\I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats? response:	Near a village on the western shores
context: I hurried over just to tell you.\Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores response:	is the nest of the Demon Bat Tribe.
context: Tell me!\And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe. response:	The nest is protected by an impenetrable barrier
context: And I'll let you suck all the blood you want outta Kagome.\Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier response:	and no one is able to destroy them.
context: Why me?!\This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them. response:	The guardianship of the barrier is passed down
context: This is no time for jokes, Inuyasha.\You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down response:	from generation to generation.
context: You must go immediately to the nest of the Demon Bats.\Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation. response:	You must kill this guardian demon.
context: Demon Bats?\Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon. response:	To put it plainly,
context: Near a village on the western shores\is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon.\To put it plainly, response:	kill the demon guardian who has the power to put up this barrier
context: is the nest of the Demon Bat Tribe.\The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier response:	and let Tetsusaiga absorb its blood.
context: The nest is protected by an impenetrable barrier\and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood. response:	By killing a strong opponent,
context: and no one is able to destroy them.\The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent, response:	Tetsusaiga will synergize his power?
context: The guardianship of the barrier is passed down\from generation to generation.\You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power? response:	And make Tetsusaiga stronger?
context: from generation to generation.\You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger? response:	Exactly.
context: You must kill this guardian demon.\To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly. response:	Now then. Kagome, your blood...
context: To put it plainly,\kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood... response:	Awright then, let's go!
context: kill the demon guardian who has the power to put up this barrier\and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood...\Awright then, let's go! response:	Demon-hunting, huh?
context: and let Tetsusaiga absorb its blood.\By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh? response:	If that's all it takes to make Tetsusaiga stronger,
context: By killing a strong opponent,\Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger, response:	I'll kill a hundred, even a thousand of'em!
context: Tetsusaiga will synergize his power?\And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em! response:	You lied to us!
context: And make Tetsusaiga stronger?\Exactly.\Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us! response:	You said if you gave your daughter to them,
context: Exactly.\Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them, response:	Our village wouldn't be attacked!
context: Now then. Kagome, your blood...\Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked! response:	Well?!
context: Awright then, let's go!\Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?! response:	More villagers have been killed!
context: Demon-hunting, huh?\If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?!\More villagers have been killed! response:	That's not what you promised!
context: If that's all it takes to make Tetsusaiga stronger,\I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?!\More villagers have been killed!\That's not what you promised! response:	Why'd they attack us?!
