context: Man, I'm hungry. response:	After we visit Big Bro's grave, let's get something to eat, Josuke.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke. response:	I'm not hungry.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry. response:	Italian Cuisine Trendy 100 Meters to the Left
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left response:	There's a new Italian restaurant. Apparently it's just ahead.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead. response:	Just ahead is the cemetery.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery. response:	No one would come to eat at a restaurant in a place like this.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this. response:	Josuke, I think that might actually be what brings people in.
context: Man, I'm hungry.\After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in. response:	The flavor must be like, Oh, man! I can't stop drooling!
context: After we visit Big Bro's grave, let's get something to eat, Josuke.\I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling! response:	Let's go! Let's go!
context: I'm not hungry.\Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go! response:	Is this it?
context: Italian Cuisine Trendy 100 Meters to the Left\There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it? response:	Trendy
context: There's a new Italian restaurant. Apparently it's just ahead.\Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it?\Trendy response:	I thought this was an empty building...
context: Just ahead is the cemetery.\No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it?\Trendy\I thought this was an empty building... response:	Maybe they remodeled it. It looks nice.
context: No one would come to eat at a restaurant in a place like this.\Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it?\Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice. response:	What? Depends on the customer?
context: Josuke, I think that might actually be what brings people in.\The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it?\Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer? response:	Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen
context: The flavor must be like, Oh, man! I can't stop drooling!\Let's go! Let's go!\Is this it?\Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen response:	The inside looks nice, too!
