context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late response:	What's wrong?
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong? response:	Vegeta, aren't you coming to help him?
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him? response:	Looks as though your legs are trembling, and you can't move.
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move. response:	Well, you just wait there patiently a little while longer.
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer. response:	I'm about to smother the breath of life from this one.
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one. response:	After which it will be your turn.
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn. response:	l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!
context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late\What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination! response:	Pic... colo... - San...
context: What's wrong?\Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San... response:	Gohan's Ki is disappearing quickly. H- He's dying! Dammit!
context: Vegeta, aren't you coming to help him?\Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit! response:	I can't wait until I've completely recovered from my injuries!
context: Looks as though your legs are trembling, and you can't move.\Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries! response:	Gohan's Ki has all but disappeared!
context: Well, you just wait there patiently a little while longer.\I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared! response:	You're the only one that ever freely associated with me.
context: I'm about to smother the breath of life from this one.\After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me. response:	Before I realized what had happened, you found your way into my heart,
context: After which it will be your turn.\l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart, response:	and made yourself a place there large enough that I was unable to drive you out.
context: l- I don't care if the kid dies, I'm just wondering what I'm supposed to do. Freeza's power is beyond imagination!\Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out. response:	Stay alive, Gohan!
context: Pic... colo... - San...\Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan! response:	Is there nothing I can do? If I don't act, I'll be next!
context: Gohan's Ki is disappearing quickly. H- He's dying! Dammit!\I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next! response:	Gohan, just hang on. I'll be right there.
context: I can't wait until I've completely recovered from my injuries!\Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there. response:	Now the big finish!
