context: What's wrong? response:	Oh? So you're off to Mistral?
context: What's wrong?\Oh? So you're off to Mistral? response:	Hard stuff there.
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there. response:	But the food is good, and they say the women are lookers.
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers. response:	About half a year since the truce?
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce? response:	And with that. Happy I'm still alive.
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive. response:	See? Grim Bourlouge.
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge. response:	Oh please.
context: What's wrong?\Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please. response:	Can't beat that.
context: Oh? So you're off to Mistral?\Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please.\Can't beat that. response:	Oh come on.
context: Hard stuff there.\But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please.\Can't beat that.\Oh come on. response:	Oh, dammit again.
context: But the food is good, and they say the women are lookers.\About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please.\Can't beat that.\Oh come on.\Oh, dammit again. response:	Hey miss. Awake there?
context: About half a year since the truce?\And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please.\Can't beat that.\Oh come on.\Oh, dammit again.\Hey miss. Awake there? response:	Your share of the booty.
context: And with that. Happy I'm still alive.\See? Grim Bourlouge.\Oh please.\Can't beat that.\Oh come on.\Oh, dammit again.\Hey miss. Awake there?\Your share of the booty. response:	Caramel?
context: See? Grim Bourlouge.\Oh please.\Can't beat that.\Oh come on.\Oh, dammit again.\Hey miss. Awake there?\Your share of the booty.\Caramel? response:	Such a fancy thing. It's too kind of you...
context: Oh please.\Can't beat that.\Oh come on.\Oh, dammit again.\Hey miss. Awake there?\Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you... response:	Sergeant!
context: Can't beat that.\Oh come on.\Oh, dammit again.\Hey miss. Awake there?\Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you...\Sergeant! response:	Don't mention it. Being nice to the bugler means
context: Oh come on.\Oh, dammit again.\Hey miss. Awake there?\Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means response:	you hear the retreat calls clearer, so they say.
context: Oh, dammit again.\Hey miss. Awake there?\Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say. response:	With the draft gone and all,
context: Hey miss. Awake there?\Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all, response:	it's rare to see new recruits.
context: Your share of the booty.\Caramel?\Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits. response:	You volunteer for this?
context: Caramel?\Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits.\You volunteer for this? response:	Yes!
context: Such a fancy thing. It's too kind of you...\Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits.\You volunteer for this?\Yes! response:	I wanted to learn the trumpet-
context: Sergeant!\Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits.\You volunteer for this?\Yes!\I wanted to learn the trumpet- response:	What?
context: Don't mention it. Being nice to the bugler means\you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits.\You volunteer for this?\Yes!\I wanted to learn the trumpet-\What? response:	I mean...
context: you hear the retreat calls clearer, so they say.\With the draft gone and all,\it's rare to see new recruits.\You volunteer for this?\Yes!\I wanted to learn the trumpet-\What?\I mean... response:	Good! An honest one!
context: With the draft gone and all,\it's rare to see new recruits.\You volunteer for this?\Yes!\I wanted to learn the trumpet-\What?\I mean...\Good! An honest one! response:	Good luck there, miss!
context: it's rare to see new recruits.\You volunteer for this?\Yes!\I wanted to learn the trumpet-\What?\I mean...\Good! An honest one!\Good luck there, miss! response:	What's your name, private?
context: You volunteer for this?\Yes!\I wanted to learn the trumpet-\What?\I mean...\Good! An honest one!\Good luck there, miss!\What's your name, private? response:	Kanata.
context: Yes!\I wanted to learn the trumpet-\What?\I mean...\Good! An honest one!\Good luck there, miss!\What's your name, private?\Kanata. response:	Kanata Sorami.
context: I wanted to learn the trumpet-\What?\I mean...\Good! An honest one!\Good luck there, miss!\What's your name, private?\Kanata.\Kanata Sorami. response:	The brilliant glow of this sky, does it carry right into your heart?
context: What?\I mean...\Good! An honest one!\Good luck there, miss!\What's your name, private?\Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: I mean...\Good! An honest one!\Good luck there, miss!\What's your name, private?\Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: Good! An honest one!\Good luck there, miss!\What's your name, private?\Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice
context: Good luck there, miss!\What's your name, private?\Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice response:	Someone was there singing for you, the happiness they sang about
context: What's your name, private?\Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: Kanata.\Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: Kanata Sorami.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
