context: Captain! response:	Homecoming
context: Captain!\Homecoming response:	Hey, Verde!
context: Captain!\Homecoming\Hey, Verde! response:	What's this?
context: Captain!\Homecoming\Hey, Verde!\What's this? response:	I'm going to disappear...
context: Captain!\Homecoming\Hey, Verde!\What's this?\I'm going to disappear... response:	As long as this song is being sung,
context: Captain!\Homecoming\Hey, Verde!\What's this?\I'm going to disappear...\As long as this song is being sung, response:	I can't maintain my true form.
context: Captain!\Homecoming\Hey, Verde!\What's this?\I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form. response:	Aria...
context: Captain!\Homecoming\Hey, Verde!\What's this?\I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form.\Aria... response:	Aria...
context: Homecoming\Hey, Verde!\What's this?\I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form.\Aria...\Aria... response:	I wanted to make your dream come true.
context: Hey, Verde!\What's this?\I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form.\Aria...\Aria...\I wanted to make your dream come true. response:	Gaul-sama!
context: What's this?\I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form.\Aria...\Aria...\I wanted to make your dream come true.\Gaul-sama! response:	Shinku!
context: I'm going to disappear...\As long as this song is being sung,\I can't maintain my true form.\Aria...\Aria...\I wanted to make your dream come true.\Gaul-sama!\Shinku! response:	Guys!
context: As long as this song is being sung,\I can't maintain my true form.\Aria...\Aria...\I wanted to make your dream come true.\Gaul-sama!\Shinku!\Guys! response:	Everybody!
context: I can't maintain my true form.\Aria...\Aria...\I wanted to make your dream come true.\Gaul-sama!\Shinku!\Guys!\Everybody! response:	Hero!
context: Aria...\Aria...\I wanted to make your dream come true.\Gaul-sama!\Shinku!\Guys!\Everybody!\Hero! response:	The healing song is purifying him.
context: Aria...\I wanted to make your dream come true.\Gaul-sama!\Shinku!\Guys!\Everybody!\Hero!\The healing song is purifying him. response:	Can we stop it?
context: I wanted to make your dream come true.\Gaul-sama!\Shinku!\Guys!\Everybody!\Hero!\The healing song is purifying him.\Can we stop it? response:	It's a demon!
context: Gaul-sama!\Shinku!\Guys!\Everybody!\Hero!\The healing song is purifying him.\Can we stop it?\It's a demon! response:	A disciple!
context: Shinku!\Guys!\Everybody!\Hero!\The healing song is purifying him.\Can we stop it?\It's a demon!\A disciple! response:	Well, sure it is, but...
context: Guys!\Everybody!\Hero!\The healing song is purifying him.\Can we stop it?\It's a demon!\A disciple!\Well, sure it is, but... response:	Sharl, I'm asking you, too.
context: Everybody!\Hero!\The healing song is purifying him.\Can we stop it?\It's a demon!\A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too. response:	There's still things I need to talk to him about.
context: Hero!\The healing song is purifying him.\Can we stop it?\It's a demon!\A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about. response:	Then use your hero crystals.
context: The healing song is purifying him.\Can we stop it?\It's a demon!\A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals. response:	You can use defensive techniques to shut out the power of the song.
context: Can we stop it?\It's a demon!\A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song. response:	I see.
context: It's a demon!\A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see. response:	Thanks.
context: A disciple!\Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see.\Thanks. response:	Don't blame me for whatever happens.
context: Well, sure it is, but...\Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see.\Thanks.\Don't blame me for whatever happens. response:	Hero Crystals,
context: Sharl, I'm asking you, too.\There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see.\Thanks.\Don't blame me for whatever happens.\Hero Crystals, response:	activate!
context: There's still things I need to talk to him about.\Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see.\Thanks.\Don't blame me for whatever happens.\Hero Crystals,\activate! response:	I didn't know you could use them like this.
context: Then use your hero crystals.\You can use defensive techniques to shut out the power of the song.\I see.\Thanks.\Don't blame me for whatever happens.\Hero Crystals,\activate!\I didn't know you could use them like this. response:	Yeah, I can't hear the song anymore.
context: You can use defensive techniques to shut out the power of the song.\I see.\Thanks.\Don't blame me for whatever happens.\Hero Crystals,\activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore. response:	Gaul...
context: I see.\Thanks.\Don't blame me for whatever happens.\Hero Crystals,\activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul... response:	Everyone, I'm sorry.
context: Thanks.\Don't blame me for whatever happens.\Hero Crystals,\activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry. response:	It's my fault.
context: Don't blame me for whatever happens.\Hero Crystals,\activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry.\It's my fault. response:	I wasn't paying enough attention to Verde.
context: Hero Crystals,\activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde. response:	I didn't realize what he was thinking.
context: activate!\I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking. response:	I dreamed of going to the surface,
context: I didn't know you could use them like this.\Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface, response:	and all Verde did was try to make that wish come true!
context: Yeah, I can't hear the song anymore.\Gaul...\Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true! response:	Hey, Verde.
context: Gaul...\Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde. response:	I don't know what happened
context: Everyone, I'm sorry.\It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened response:	or the details of what's going on,
context: It's my fault.\I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened\or the details of what's going on, response:	but no matter the reason,
context: I wasn't paying enough attention to Verde.\I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened\or the details of what's going on,\but no matter the reason, response:	a man must never make a woman cry.
context: I didn't realize what he was thinking.\I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened\or the details of what's going on,\but no matter the reason,\a man must never make a woman cry. response:	Maybe you did do something wrong,
context: I dreamed of going to the surface,\and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened\or the details of what's going on,\but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong, response:	but just crying and apologizing won't help anything.
context: and all Verde did was try to make that wish come true!\Hey, Verde.\I don't know what happened\or the details of what's going on,\but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything. response:	And
context: Hey, Verde.\I don't know what happened\or the details of what's going on,\but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And response:	it's not a bad thing to have dreams or hopes.
context: I don't know what happened\or the details of what's going on,\but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes. response:	I'm sorry, Verde.
context: or the details of what's going on,\but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde. response:	I made you sad.
context: but no matter the reason,\a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad. response:	It's not your fault, Aria.
context: a man must never make a woman cry.\Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad.\It's not your fault, Aria. response:	I'm a demon. A disciple.
context: Maybe you did do something wrong,\but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple. response:	Even if you're a demon or a disciple,
context: but just crying and apologizing won't help anything.\And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple, response:	you're still Verde.
context: And\it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde. response:	You were always with me when I was lonely.
context: it's not a bad thing to have dreams or hopes.\I'm sorry, Verde.\I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely. response:	You were always thinking about me.
context: I'm sorry, Verde.\I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely.\You were always thinking about me. response:	You tried to do everything you could for me.
context: I made you sad.\It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me. response:	You're the
context: It's not your fault, Aria.\I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me.\You're the response:	kind Verde that I love!
context: I'm a demon. A disciple.\Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me.\You're the\kind Verde that I love! response:	What's that?
context: Even if you're a demon or a disciple,\you're still Verde.\You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me.\You're the\kind Verde that I love!\What's that? response:	Oh no!
context: you're still Verde.\You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me.\You're the\kind Verde that I love!\What's that?\Oh no! response:	Wait!
