context: Naniwa Bay, now the flower blooms, but for winter. response:	Here comes spring, now the flower blooms.
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms. response:	Did you watch last night's episode?
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode? response:	Uh-huh, you bet!
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet! response:	Have you heard?
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet!\Have you heard? response:	One of the new students
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet!\Have you heard?\One of the new students response:	is the younger sister of the model Ayase Chitose!
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet!\Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose! response:	No way! I'm a huge fan!
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet!\Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan! response:	She must be super cute!
context: Here comes spring, now the flower blooms.\Did you watch last night's episode?\Uh-huh, you bet!\Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute! response:	Yeah!
context: Did you watch last night's episode?\Uh-huh, you bet!\Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute!\Yeah! response:	Really? Let's go check her out!
context: Uh-huh, you bet!\Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute!\Yeah!\Really? Let's go check her out! response:	Which class?!
context: Have you heard?\One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute!\Yeah!\Really? Let's go check her out!\Which class?! response:	Class 2!
context: One of the new students\is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute!\Yeah!\Really? Let's go check her out!\Which class?!\Class 2! response:	But she's usually in the lobby during lunch!
context: is the younger sister of the model Ayase Chitose!\No way! I'm a huge fan!\She must be super cute!\Yeah!\Really? Let's go check her out!\Which class?!\Class 2!\But she's usually in the lobby during lunch! response:	What?
context: No way! I'm a huge fan!\She must be super cute!\Yeah!\Really? Let's go check her out!\Which class?!\Class 2!\But she's usually in the lobby during lunch!\What? response:	Please come see Ayase Chihaya in class 1-2!!
context: She must be super cute!\Yeah!\Really? Let's go check her out!\Which class?!\Class 2!\But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!! response:	Ayase Chihaya...?
context: Yeah!\Really? Let's go check her out!\Which class?!\Class 2!\But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...? response:	Let's start a competitive karuta club!
context: Really? Let's go check her out!\Which class?!\Class 2!\But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club! response:	A competitive karuta club?
context: Which class?!\Class 2!\But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club? response:	Excuse me.
context: Class 2!\But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club?\Excuse me. response:	E-Err...
context: But she's usually in the lobby during lunch!\What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club?\Excuse me.\E-Err... response:	The hell?
context: What?\Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club?\Excuse me.\E-Err...\The hell? response:	Track pants?
context: Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club?\Excuse me.\E-Err...\The hell?\Track pants? response:	Look at the belt.
context: Ayase Chihaya...?\Let's start a competitive karuta club!\A competitive karuta club?\Excuse me.\E-Err...\The hell?\Track pants?\Look at the belt. response:	Ayase-san!
context: Let's start a competitive karuta club!\A competitive karuta club?\Excuse me.\E-Err...\The hell?\Track pants?\Look at the belt.\Ayase-san! response:	Just look at yourself!
context: A competitive karuta club?\Excuse me.\E-Err...\The hell?\Track pants?\Look at the belt.\Ayase-san!\Just look at yourself! response:	Have you no shame?!
context: Excuse me.\E-Err...\The hell?\Track pants?\Look at the belt.\Ayase-san!\Just look at yourself!\Have you no shame?! response:	What?
