context: Kagome, this way?! response:	It's near! Beyond this forest!
context: Kagome, this way?!\It's near! Beyond this forest! response:	We were in search of Sacred Jewel fragments...
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments... response:	when we met up unexpectedly with Kohaku...
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku... response:	who was being attacked by Naraku's demon.
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon. response:	The demon was after the Sacred Jewel fragment in Kohaku's back.
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back. response:	Kohaku!
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku! response:	Sango was overjoyed at this reunion with Kohaku.
context: Kagome, this way?!\It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku. response:	But Kohaku's memory had been erased by Naraku...
context: It's near! Beyond this forest!\We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku... response:	and remembered nothing about Sango.
context: We were in search of Sacred Jewel fragments...\when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango. response:	Kohaku has come back to me. He's escaped from Naraku's grasp...
context: when we met up unexpectedly with Kohaku...\who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp... response:	That's what I want to believe.
context: who was being attacked by Naraku's demon.\The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe. response:	About Kohaku... It's Naraku's trap!
context: The demon was after the Sacred Jewel fragment in Kohaku's back.\Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap! response:	I believe in Kohaku!
context: Kohaku!\Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku! response:	That's Naraku's aim.
context: Sango was overjoyed at this reunion with Kohaku.\But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim. response:	What else can I do except to trust him?!
context: But Kohaku's memory had been erased by Naraku...\and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?! response:	Just then, Kagura appeared to take back the fragment...
context: and remembered nothing about Sango.\Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment... response:	bringing an army of demons with her.
context: Kohaku has come back to me. He's escaped from Naraku's grasp...\That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her. response:	If the Sacred Jewel fragment is removed from his back, Kohaku will die!
context: That's what I want to believe.\About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die! response:	In order to protect Kohaku...
context: About Kohaku... It's Naraku's trap!\I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku... response:	Inuyasha and Miroku began fighting them off...
context: I believe in Kohaku!\That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off... response:	while Kohaku and I escaped into the forest.
context: That's Naraku's aim.\What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest. response:	I want to remember... about her and everything else.
context: What else can I do except to trust him?!\Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else. response:	But...what's this feeling?
context: Just then, Kagura appeared to take back the fragment...\bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling? response:	I feel scared... Something I don't want to remember...
context: bringing an army of demons with her.\If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember... response:	Something...
context: If the Sacred Jewel fragment is removed from his back, Kohaku will die!\In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember...\Something... response:	Kill her... Kill Kagome.
context: In order to protect Kohaku...\Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome. response:	You're all out of arrows.
context: Inuyasha and Miroku began fighting them off...\while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome.\You're all out of arrows. response:	Kohaku!
context: while Kohaku and I escaped into the forest.\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome.\You're all out of arrows.\Kohaku! response:	Hiraikotsu!
context: I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome.\You're all out of arrows.\Kohaku!\Hiraikotsu! response:	Don't worry, Kohaku!
context: But...what's this feeling?\I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome.\You're all out of arrows.\Kohaku!\Hiraikotsu!\Don't worry, Kohaku! response:	I'll never let Naraku take you away ever again!
context: I feel scared... Something I don't want to remember...\Something...\Kill her... Kill Kagome.\You're all out of arrows.\Kohaku!\Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again! response:	Kagome!
context: Something...\Kill her... Kill Kagome.\You're all out of arrows.\Kohaku!\Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome! response:	Kirara!
context: Kill her... Kill Kagome.\You're all out of arrows.\Kohaku!\Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome!\Kirara! response:	Inuyasha, remember.
context: You're all out of arrows.\Kohaku!\Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome!\Kirara!\Inuyasha, remember. response:	We must distract Kagura and her demons as much as possible.
context: Kohaku!\Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome!\Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible. response:	I know that!
context: Hiraikotsu!\Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome!\Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that! response:	Kagura! You need a whole army just to capture one kid?!
context: Don't worry, Kohaku!\I'll never let Naraku take you away ever again!\Kagome!\Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?! response:	Fine with me!
context: I'll never let Naraku take you away ever again!\Kagome!\Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me! response:	They're falling for Naraku's plan.
context: Kagome!\Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan. response:	Do your work, Kohaku.
context: Kirara!\Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku. response:	What perfect timing!
