context: Lucy! You can hear me, can't you?! response:	Hold on! I swear I'll get you outta here!
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here! response:	Warning. Another one of the engraved seals has been removed.
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed. response:	If the remaining three disappear, the owners will lose the right of possession.
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession. response:	Lucy! Get a hold of yourself!
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself! response:	Struggle how you might, it's pointless.
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless. response:	In mere moments, Lucy Heartfilia will merge with the Infinity Clock.
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock. response:	And when that happens, it'll become possible for us to take control of Real Nightmare.
context: Lucy! You can hear me, can't you?!\Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare. response:	What?!
context: Hold on! I swear I'll get you outta here!\Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?! response:	I won't let anyone lay a hand on Nee-san.
context: Warning. Another one of the engraved seals has been removed.\If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san. response:	She's going to stay with me forever.
context: If the remaining three disappear, the owners will lose the right of possession.\Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever. response:	Forever...
