context: Manaka-san... response:	There you go, making that depressing face again.
context: Manaka-san...\There you go, making that depressing face again. response:	You don't have to worry so much.
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much. response:	But...
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much.\But... response:	I'm saying...
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much.\But...\I'm saying... response:	She'll wake up soon just like Kaname and I did.
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much.\But...\I'm saying...\She'll wake up soon just like Kaname and I did. response:	There's no doubt.
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much.\But...\I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt. response:	Right...
context: Manaka-san...\There you go, making that depressing face again.\You don't have to worry so much.\But...\I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt.\Right... response:	It's been one week since Manaka-san came back.
context: There you go, making that depressing face again.\You don't have to worry so much.\But...\I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt.\Right...\It's been one week since Manaka-san came back. response:	Come on, let's go.
context: You don't have to worry so much.\But...\I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt.\Right...\It's been one week since Manaka-san came back.\Come on, let's go. response:	Everyone believed somewhere in their hearts...
context: But...\I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt.\Right...\It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts... response:	Yeah.
context: I'm saying...\She'll wake up soon just like Kaname and I did.\There's no doubt.\Right...\It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah. response:	What the hell is with English being first period?
context: She'll wake up soon just like Kaname and I did.\There's no doubt.\Right...\It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period? response:	That she'd be the same as Hikari or Kaname-san.
context: There's no doubt.\Right...\It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san. response:	That she'd wake up soon.
context: Right...\It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon. response:	But...
context: It's been one week since Manaka-san came back.\Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But... response:	Manaka-san still showed no signs of waking up.
context: Come on, let's go.\Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up. response:	Episode Twenty: Sleeping Beauty
context: Everyone believed somewhere in their hearts...\Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty response:	That ends our lesson for today.
