context: This is LAN Xi. response:	The big city where I grew up.
context: This is LAN Xi.\The big city where I grew up. response:	I remember every stop here.
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here. response:	Every street.
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here.\Every street. response:	The shape of each sunny days
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here.\Every street.\The shape of each sunny days response:	and also the rainy ones.
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here.\Every street.\The shape of each sunny days\and also the rainy ones. response:	At that moment in time,
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here.\Every street.\The shape of each sunny days\and also the rainy ones.\At that moment in time, response:	we were around 16-17 years old.
context: This is LAN Xi.\The big city where I grew up.\I remember every stop here.\Every street.\The shape of each sunny days\and also the rainy ones.\At that moment in time,\we were around 16-17 years old. response:	Without a smart phone.
context: The big city where I grew up.\I remember every stop here.\Every street.\The shape of each sunny days\and also the rainy ones.\At that moment in time,\we were around 16-17 years old.\Without a smart phone. response:	Without whatsapp or voicemail.
context: I remember every stop here.\Every street.\The shape of each sunny days\and also the rainy ones.\At that moment in time,\we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail. response:	Time passed slowly.
context: Every street.\The shape of each sunny days\and also the rainy ones.\At that moment in time,\we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly. response:	Here's your Bao Zi.
context: The shape of each sunny days\and also the rainy ones.\At that moment in time,\we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi. response:	It was a long summer.
context: and also the rainy ones.\At that moment in time,\we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi.\It was a long summer. response:	An old song was playing over and over again.
context: At that moment in time,\we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again. response:	Some people will always carry in their heart.
context: we were around 16-17 years old.\Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart. response:	Tu Xiao Yi, be more realistic.
context: Without a smart phone.\Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic. response:	Who's still look at such shallow mangas?
context: Without whatsapp or voicemail.\Time passed slowly.\Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas? response:	In mangas, you have to give the reader more pleasure, do you understand?
context: Time passed slowly.\Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand? response:	Since I'm the company's president,
context: Here's your Bao Zi.\It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president, response:	you should be like a loyal Golden Retriever
context: It was a long summer.\An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever response:	and be calm and proud.
context: An old song was playing over and over again.\Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud. response:	If you don't want to draw me a wolf cub, then you should draw me a puppy.
context: Some people will always carry in their heart.\Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy. response:	Will you continue drawing for me?
context: Tu Xiao Yi, be more realistic.\Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me? response:	If you keep drawing your original manga,
context: Who's still look at such shallow mangas?\In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga, response:	I will no longer invest in that.
context: In mangas, you have to give the reader more pleasure, do you understand?\Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that. response:	Once you're an adult,
context: Since I'm the company's president,\you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult, response:	it's good to act as one.
context: you should be like a loyal Golden Retriever\and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult,\it's good to act as one. response:	But you can lose sight of yourself.
context: and be calm and proud.\If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult,\it's good to act as one.\But you can lose sight of yourself. response:	I remember when I was 17 years old.
context: If you don't want to draw me a wolf cub, then you should draw me a puppy.\Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult,\it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old. response:	Such an insolent youth.
context: Will you continue drawing for me?\If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult,\it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth. response:	But also a simple and realistic one.
context: If you keep drawing your original manga,\I will no longer invest in that.\Once you're an adult,\it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one. response:	Good morning my audience.
context: I will no longer invest in that.\Once you're an adult,\it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one.\Good morning my audience. response:	Today is September 1, 1999.
context: Once you're an adult,\it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999. response:	The return of Makao is in 11 days.
context: it's good to act as one.\But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days. response:	On this splendid morning,
context: But you can lose sight of yourself.\I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning, response:	I will share a new song by Pu Shu, New Boy.
context: I remember when I was 17 years old.\Such an insolent youth.\But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy. response:	Gramps, I'm going to school.
context: Such an insolent youth.\But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school. response:	Be careful.
context: But also a simple and realistic one.\Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful. response:	Good morning.
context: Good morning my audience.\Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful.\Good morning. response:	Here's one bowl of tofu buns.
context: Today is September 1, 1999.\The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful.\Good morning.\Here's one bowl of tofu buns. response:	Owner, are my Bao Zi done?
context: The return of Makao is in 11 days.\On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful.\Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done? response:	Oh, yeah.
context: On this splendid morning,\I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful.\Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah. response:	You're still playing? The old man will kill you.
context: I will share a new song by Pu Shu, New Boy.\Gramps, I'm going to school.\Be careful.\Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you. response:	I'll carry the Bao Zi.
context: Gramps, I'm going to school.\Be careful.\Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi. response:	Hey, my Bao Zi!
context: Be careful.\Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi! response:	Tu Xiao Yi, wait for me!
context: Good morning.\Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me! response:	Get on the bike quickly.
context: Here's one bowl of tofu buns.\Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly. response:	Hurry up, the bell is about to ring.
context: Owner, are my Bao Zi done?\Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring. response:	Your average for the last semester are the worst.
context: Oh, yeah.\You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst. response:	Look at your notes.
context: You're still playing? The old man will kill you.\I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes. response:	3rd year class 1
context: I'll carry the Bao Zi.\Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes.\3rd year class 1 response:	Aren't you ashamed?
context: Hey, my Bao Zi!\Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes.\3rd year class 1\Aren't you ashamed? response:	Now we must raise your average with blackboard reports.
context: Tu Xiao Yi, wait for me!\Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes.\3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports. response:	Yao Zhe Tian.
context: Get on the bike quickly.\Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes.\3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian. response:	It doesn't matter if it's by studying or on the blackboard.
context: Hurry up, the bell is about to ring.\Your average for the last semester are the worst.\Look at your notes.\3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard. response:	Being on the committee,
context: Your average for the last semester are the worst.\Look at your notes.\3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee, response:	You must be a good influence for others
context: Look at your notes.\3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others response:	and also for yourself.
context: 3rd year class 1\Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others\and also for yourself. response:	Understood?
context: Aren't you ashamed?\Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others\and also for yourself.\Understood? response:	Keep laughing.
context: Now we must raise your average with blackboard reports.\Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others\and also for yourself.\Understood?\Keep laughing. response:	Amazing.
context: Yao Zhe Tian.\It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others\and also for yourself.\Understood?\Keep laughing.\Amazing. response:	You get here late just after the beginning of class. What were you thinking?
context: It doesn't matter if it's by studying or on the blackboard.\Being on the committee,\You must be a good influence for others\and also for yourself.\Understood?\Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking? response:	Why not come when classes ends while at it?
context: Being on the committee,\You must be a good influence for others\and also for yourself.\Understood?\Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it? response:	And you dare to sneak into my classroom.
context: You must be a good influence for others\and also for yourself.\Understood?\Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom. response:	Did you think you could do it?
context: and also for yourself.\Understood?\Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it? response:	You two, when you are not looking at mangas or playing video games,
context: Understood?\Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games, response:	You're always getting here at bell time.
context: Keep laughing.\Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time. response:	Not even dogs can catch up after class.
context: Amazing.\You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class. response:	In what course do you think you are?
context: You get here late just after the beginning of class. What were you thinking?\Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are? response:	Are you deaf?
context: Why not come when classes ends while at it?\And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf? response:	Do you think the school is your house? Impolite.
context: And you dare to sneak into my classroom.\Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite. response:	How did your father teach you?
context: Did you think you could do it?\You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you? response:	Oh, it you, Jin Xuan.
context: You two, when you are not looking at mangas or playing video games,\You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan. response:	Now try not to be late anymore.
context: You're always getting here at bell time.\Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore. response:	It doesn't matter.
context: Not even dogs can catch up after class.\In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter. response:	This year you're trying to get into a university.
context: In what course do you think you are?\Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university. response:	If you have a problem, you can come and tell me.
context: Are you deaf?\Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me. response:	Do you feel good being in the last row?
