context: Gray! response:	If you've really betrayed Fairy Tail, then you must have some reason!
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason! response:	No reason.
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason. response:	Nothin' like that.
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that. response:	What?
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that.\What? response:	Gray...
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that.\What?\Gray... response:	Yes-yes-yes!
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that.\What?\Gray...\Yes-yes-yes! response:	And now all my research has come to fruition, and I have completed my Dragonoid!
context: Gray!\If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that.\What?\Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid! response:	Shouldn't you people be singing my praises or something?
context: If you've really betrayed Fairy Tail, then you must have some reason!\No reason.\Nothin' like that.\What?\Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something? response:	Is that the voice of this Daphne person?
context: No reason.\Nothin' like that.\What?\Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person? response:	Give us Natsu back this instant!
context: Nothin' like that.\What?\Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant! response:	Sorry, but no can do.
context: What?\Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do. response:	I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.
context: Gray...\Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power. response:	Sucking out my magic power?
context: Yes-yes-yes!\And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power? response:	Friendship will overcome the dead.
