context: 7 hours ago response:	7 hours ago
context: 7 hours ago\7 hours ago response:	Why would the Drones just pass by without doing anything?
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything? response:	This doesn't make sense.
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense. response:	This isn't a setup, is it?
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it? response:	They said they couldn't read his Psycho-Pass because he was wearing a helmet.
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet. response:	You're kidding!
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding! response:	Whaaat? Then the street scanners are pointless!
context: 7 hours ago\7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless! response:	Seriously?
context: 7 hours ago\Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously? response:	Whoooa!
context: Why would the Drones just pass by without doing anything?\This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa! response:	So this is happening for real? That's awful.
context: This doesn't make sense.\This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa!\So this is happening for real? That's awful. response:	But there's no such thing as murder here, right?
context: This isn't a setup, is it?\They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right? response:	Dumbass. This is so obviously fake, lmao
context: They said they couldn't read his Psycho-Pass because he was wearing a helmet.\You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao response:	I bet you the Bureau's behind this.
context: You're kidding!\Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this. response:	You moron. This isn't real, rofl
context: Whaaat? Then the street scanners are pointless!\Seriously?\Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl response:	Calling the Drones in didn't work, right?
context: Seriously?\Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right? response:	This is bad. Seriously, the Area Stress Level must be through the roof.
context: Whoooa!\So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof. response:	The end of the week is nigh!
context: So this is happening for real? That's awful.\But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh! response:	I'm so scared that I can't go out!
context: But there's no such thing as murder here, right?\Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out! response:	I think you mean the end of the world,
context: Dumbass. This is so obviously fake, lmao\I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world, response:	Helmet, pleaaase!!
context: I bet you the Bureau's behind this.\You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!! response:	I got a call from my employer.
context: You moron. This isn't real, rofl\Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer. response:	What did they say?
context: Calling the Drones in didn't work, right?\This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer.\What did they say? response:	They said that the area's temporarily closed off, so I shouldn't try to go out.
context: This is bad. Seriously, the Area Stress Level must be through the roof.\The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out. response:	If we go out, we'll be killed.
