context: Why? Why did you... response:	This isn't like three years ago. I've created a path.
context: Why? Why did you...\This isn't like three years ago. I've created a path. response:	I now have a country to protect you.
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you. response:	Lieselotte...
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte... response:	Michael...
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte...\Michael... response:	Allow me to abduct you.
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte...\Michael...\Allow me to abduct you. response:	Carmilla! This is my way out!
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte...\Michael...\Allow me to abduct you.\Carmilla! This is my way out! response:	My life was saved by you.
context: Why? Why did you...\This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte...\Michael...\Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you. response:	If it weren't for you, I would be dead.
context: This isn't like three years ago. I've created a path.\I now have a country to protect you.\Lieselotte...\Michael...\Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead. response:	This is to repay me?
context: I now have a country to protect you.\Lieselotte...\Michael...\Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me? response:	You have gone to such lengths just for that?
context: Lieselotte...\Michael...\Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that? response:	No, not only for that.
context: Michael...\Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that?\No, not only for that. response:	Not only for that.
context: Allow me to abduct you.\Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that?\No, not only for that.\Not only for that. response:	Laugh at me if you like. I have only met you twice.
context: Carmilla! This is my way out!\My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that?\No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice. response:	And we haven't even spent an hour in each other's company.
context: My life was saved by you.\If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that?\No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company. response:	But even so...
context: If it weren't for you, I would be dead.\This is to repay me?\You have gone to such lengths just for that?\No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so... response:	I fell in love with you.
context: This is to repay me?\You have gone to such lengths just for that?\No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you. response:	Michael...
context: You have gone to such lengths just for that?\No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you.\Michael... response:	You are very young, aren't you?
context: No, not only for that.\Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you.\Michael...\You are very young, aren't you? response:	I've seen them in videos, but they're quieter than I expected!
context: Not only for that.\Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you.\Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected! response:	These use the Rave Engine?
context: Laugh at me if you like. I have only met you twice.\And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you.\Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine? response:	Haruto, are you sure about this? Your father, I mean.
context: And we haven't even spent an hour in each other's company.\But even so...\I fell in love with you.\Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean. response:	Senpai...
context: But even so...\I fell in love with you.\Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai... response:	I'm sure. We're done.
context: I fell in love with you.\Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done. response:	Walking away from such an ideal environment...
context: Michael...\You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done.\Walking away from such an ideal environment... response:	As researchers, they have a screw loose.
context: You are very young, aren't you?\I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose. response:	We're swimming in research funding,
