context: The Third Plate response:	Four
context: The Third Plate\Four response:	The 92nd Moon Festival
context: The Third Plate\Four\The 92nd Moon Festival response:	Hup! Hup! Hup! Hup!
context: The Third Plate\Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup! response:	Kuga Restaurant
context: The Third Plate\Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant response:	Wow, the rumors weren't wrong.
context: The Third Plate\Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong. response:	The Chinese Cuisine RS packs quite a punch.
context: The Third Plate\Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch. response:	How about some black pepper buns?
context: The Third Plate\Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns? response:	Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns
context: Four\The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns response:	We also have sorta-danzi noodles!
context: The 92nd Moon Festival\Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles! response:	Yuki-chan, Ryoko-chan!
context: Hup! Hup! Hup! Hup!\Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan! response:	What's going on?
