context: Morning. response:	Chiaki!
context: Morning.\Chiaki! response:	Why'd you ignore my text yesterday?!
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?! response:	Sorry, wasn't feeling it.
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it. response:	I mean, every day, you're like, What'cha doin'?
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'? response:	Shut up!
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up! response:	Chiaki and I have been dating for nearly a year.
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year. response:	We still haven't even kissed yet.
context: Morning.\Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet. response:	Point-Blank Relationship
context: Chiaki!\Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship response:	What? You still haven't kissed, Kana?
context: Why'd you ignore my text yesterday?!\Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana? response:	W-Well, it's only been a year.
context: Sorry, wasn't feeling it.\I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year. response:	It's too early.
context: I mean, every day, you're like, What'cha doin'?\Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early. response:	Isn't that a bit late?
context: Shut up!\Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early.\Isn't that a bit late? response:	Hasn't Chiaki-kun said anything?
context: Chiaki and I have been dating for nearly a year.\We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything? response:	Not really, he's like...
context: We still haven't even kissed yet.\Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like... response:	Man, that was a huge dump.
context: Point-Blank Relationship\What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump. response:	You poop tanker!
context: What? You still haven't kissed, Kana?\W-Well, it's only been a year.\It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump.\You poop tanker! response:	So what if I poop?! Everyone poops!
context: W-Well, it's only been a year.\It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops! response:	You're so immature!
context: It's too early.\Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops!\You're so immature! response:	Come to think of it,
context: Isn't that a bit late?\Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops!\You're so immature!\Come to think of it, response:	it feels more like we're siblings than dating.
context: Hasn't Chiaki-kun said anything?\Not really, he's like...\Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops!\You're so immature!\Come to think of it,\it feels more like we're siblings than dating. response:	Hey, Chiaki, we get along well, right?
context: Not really, he's like...\Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops!\You're so immature!\Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right? response:	Bang!
context: Man, that was a huge dump.\You poop tanker!\So what if I poop?! Everyone poops!\You're so immature!\Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang! response:	Augh! I've been shot!
context: You poop tanker!\So what if I poop?! Everyone poops!\You're so immature!\Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot! response:	Yeah, we're definitely in sync, at least.
context: So what if I poop?! Everyone poops!\You're so immature!\Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least. response:	Perfectly.
context: You're so immature!\Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly. response:	Hey, are you satisfied with this?
context: Come to think of it,\it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this? response:	Our relationship, I mean.
context: it feels more like we're siblings than dating.\Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean. response:	You're not?
context: Hey, Chiaki, we get along well, right?\Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean.\You're not? response:	It's not that I'm not, but can't we be closer? Skinship-wise?
context: Bang!\Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise? response:	Oh...
context: Augh! I've been shot!\Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh... response:	Ready to rumble?
context: Yeah, we're definitely in sync, at least.\Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble? response:	N-No!
context: Perfectly.\Hey, are you satisfied with this?\Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble?\N-No! response:	I meant relationship-type stuff!
context: Hey, are you satisfied with this?\Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble?\N-No!\I meant relationship-type stuff! response:	You could have said so.
context: Our relationship, I mean.\You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble?\N-No!\I meant relationship-type stuff!\You could have said so. response:	You're awful.
context: You're not?\It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble?\N-No!\I meant relationship-type stuff!\You could have said so.\You're awful. response:	I was just a toy to you, wasn't I?
context: It's not that I'm not, but can't we be closer? Skinship-wise?\Oh...\Ready to rumble?\N-No!\I meant relationship-type stuff!\You could have said so.\You're awful.\I was just a toy to you, wasn't I? response:	I'm not trying to be funny, here.
context: Oh...\Ready to rumble?\N-No!\I meant relationship-type stuff!\You could have said so.\You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here. response:	What about, like, kissing and stuff?
context: Ready to rumble?\N-No!\I meant relationship-type stuff!\You could have said so.\You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff? response:	That's way too embarrassing.
context: N-No!\I meant relationship-type stuff!\You could have said so.\You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing. response:	We aren't even dating.
context: I meant relationship-type stuff!\You could have said so.\You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating. response:	It's embarrassing for me, too, but we're in a rel
context: You could have said so.\You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel response:	What?
context: You're awful.\I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What? response:	Do you really want to waste your time with me?
context: I was just a toy to you, wasn't I?\I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me? response:	Don't you have a crush or something?
context: I'm not trying to be funny, here.\What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me?\Don't you have a crush or something? response:	We are dating, right?
context: What about, like, kissing and stuff?\That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right? response:	Huh?
context: That's way too embarrassing.\We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right?\Huh? response:	Who is?
context: We aren't even dating.\It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right?\Huh?\Who is? response:	We are.
context: It's embarrassing for me, too, but we're in a rel\What?\Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right?\Huh?\Who is?\We are. response:	Wait a second, since when are we dating?!
context: What?\Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right?\Huh?\Who is?\We are.\Wait a second, since when are we dating?! response:	I confessed to you last spring, remember?
context: Do you really want to waste your time with me?\Don't you have a crush or something?\We are dating, right?\Huh?\Who is?\We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember? response:	Coming home from school?
context: Don't you have a crush or something?\We are dating, right?\Huh?\Who is?\We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school? response:	H-Hey, I like you, Chiaki-kun.
context: We are dating, right?\Huh?\Who is?\We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun. response:	I like you more, stupid.
context: Huh?\Who is?\We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid. response:	Sorry, I thought that was a comedy bit.
context: Who is?\We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit. response:	I knew something wasn't right.
context: We are.\Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right. response:	You wouldn't even try to hold hands.
context: Wait a second, since when are we dating?!\I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands. response:	But you were always, like, my best friend,
context: I confessed to you last spring, remember?\Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend, response:	so maybe you were embarrassed.
context: Coming home from school?\H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed. response:	I was okay with that, though,
context: H-Hey, I like you, Chiaki-kun.\I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though, response:	since you were always right there.
context: I like you more, stupid.\Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though,\since you were always right there. response:	Well, I guess we've always been close
context: Sorry, I thought that was a comedy bit.\I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though,\since you were always right there.\Well, I guess we've always been close response:	but never touching.
context: I knew something wasn't right.\You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though,\since you were always right there.\Well, I guess we've always been close\but never touching. response:	What? Why are you crying?
context: You wouldn't even try to hold hands.\But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though,\since you were always right there.\Well, I guess we've always been close\but never touching.\What? Why are you crying? response:	Because, because...
context: But you were always, like, my best friend,\so maybe you were embarrassed.\I was okay with that, though,\since you were always right there.\Well, I guess we've always been close\but never touching.\What? Why are you crying?\Because, because... response:	I've been texting you nonstop
context: so maybe you were embarrassed.\I was okay with that, though,\since you were always right there.\Well, I guess we've always been close\but never touching.\What? Why are you crying?\Because, because...\I've been texting you nonstop response:	and smacking you like we're that close.
context: I was okay with that, though,\since you were always right there.\Well, I guess we've always been close\but never touching.\What? Why are you crying?\Because, because...\I've been texting you nonstop\and smacking you like we're that close. response:	I'm so low.
context: since you were always right there.\Well, I guess we've always been close\but never touching.\What? Why are you crying?\Because, because...\I've been texting you nonstop\and smacking you like we're that close.\I'm so low. response:	Then let's hook up properly.
context: Well, I guess we've always been close\but never touching.\What? Why are you crying?\Because, because...\I've been texting you nonstop\and smacking you like we're that close.\I'm so low.\Then let's hook up properly. response:	What, is this another bit?
context: but never touching.\What? Why are you crying?\Because, because...\I've been texting you nonstop\and smacking you like we're that close.\I'm so low.\Then let's hook up properly.\What, is this another bit? response:	No!
context: What? Why are you crying?\Because, because...\I've been texting you nonstop\and smacking you like we're that close.\I'm so low.\Then let's hook up properly.\What, is this another bit?\No! response:	I've thought about being your boyfriend, too.
context: Because, because...\I've been texting you nonstop\and smacking you like we're that close.\I'm so low.\Then let's hook up properly.\What, is this another bit?\No!\I've thought about being your boyfriend, too. response:	But I couldn't tell how you felt, so I kept quiet.
context: I've been texting you nonstop\and smacking you like we're that close.\I'm so low.\Then let's hook up properly.\What, is this another bit?\No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet. response:	I like you.
