context: Two months passed since we started our second year of high school. response:	Now that we had become
context: Two months passed since we started our second year of high school.\Now that we had become response:	accustomed to our new classes and to having juniors,
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors, response:	The school field trip.
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors,\The school field trip. response:	Here, Big Brother.
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother. response:	Thanks, Kuzuha.
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother.\Thanks, Kuzuha. response:	Well, I'm going to bed.
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed. response:	'Night.
context: Two months passed since we started our second year of high school.\Now that we had become\accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed.\'Night. response:	And to me, that day is slightly more significant than most.
context: Now that we had become\accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most. response:	SCHOOL FIELD TRIP
context: accustomed to our new classes and to having juniors,\The school field trip.\Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP response:	Rikka, are you packed?
context: The school field trip.\Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed? response:	I'm opening the door.
context: Here, Big Brother.\Thanks, Kuzuha.\Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door. response:	Ssh, they'll hear us.
context: Thanks, Kuzuha.\Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us. response:	It appears the dark followers have not spotted us.
context: Well, I'm going to bed.\'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us. response:	But be careful.
context: 'Night.\And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful. response:	Any loud noises will annoy the neighbors.
context: And to me, that day is slightly more significant than most.\SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors. response:	Like you can talk!
context: SCHOOL FIELD TRIP\Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors.\Like you can talk! response:	What are you doing with these on, anyway?
context: Rikka, are you packed?\I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway? response:	I have just returned from my mission to summon the Dark Flame Dragon.
context: I'm opening the door.\Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon. response:	Wearing these fortifies the Wicked Lord Shingan.
