context: I asked you to go get the corruption for me, didn't I? response:	You have that much trouble with a simple errand?
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand? response:	Well, fine.
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine. response:	I did get to have a glimpse of him.
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him. response:	If you don't want your apprentice to be turned into an ingredient,
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient, response:	don't mess up next time.
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time. response:	Master, why do you listen to that psycho?
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho? response:	He took your arm!
context: I asked you to go get the corruption for me, didn't I?\You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho?\He took your arm! response:	You don't need to concern yourself.
context: You have that much trouble with a simple errand?\Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself. response:	A master protects his apprentice.
context: Well, fine.\I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself.\A master protects his apprentice. response:	Have faith in me.
context: I did get to have a glimpse of him.\If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself.\A master protects his apprentice.\Have faith in me. response:	But...
context: If you don't want your apprentice to be turned into an ingredient,\don't mess up next time.\Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself.\A master protects his apprentice.\Have faith in me.\But... response:	It's fine.
context: don't mess up next time.\Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself.\A master protects his apprentice.\Have faith in me.\But...\It's fine. response:	I have a plan.
context: Master, why do you listen to that psycho?\He took your arm!\You don't need to concern yourself.\A master protects his apprentice.\Have faith in me.\But...\It's fine.\I have a plan. response:	Wasn't I supposed to protect you?
context: He took your arm!\You don't need to concern yourself.\A master protects his apprentice.\Have faith in me.\But...\It's fine.\I have a plan.\Wasn't I supposed to protect you? response:	One mandrake petal.
context: You don't need to concern yourself.\A master protects his apprentice.\Have faith in me.\But...\It's fine.\I have a plan.\Wasn't I supposed to protect you?\One mandrake petal. response:	Please.
context: A master protects his apprentice.\Have faith in me.\But...\It's fine.\I have a plan.\Wasn't I supposed to protect you?\One mandrake petal.\Please. response:	Sound, sound through the night forest.
context: Have faith in me.\But...\It's fine.\I have a plan.\Wasn't I supposed to protect you?\One mandrake petal.\Please.\Sound, sound through the night forest. response:	Sing, sing, young hawthorns.
context: But...\It's fine.\I have a plan.\Wasn't I supposed to protect you?\One mandrake petal.\Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns. response:	Let your thorns pierce the creeping hooves.
context: It's fine.\I have a plan.\Wasn't I supposed to protect you?\One mandrake petal.\Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves. response:	Chise.
context: I have a plan.\Wasn't I supposed to protect you?\One mandrake petal.\Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise. response:	When do you think you can finish the order for the old lady at the foot of the hill?
context: Wasn't I supposed to protect you?\One mandrake petal.\Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill? response:	I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.
context: One mandrake petal.\Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow. response:	And this is an enchanted potion for warding off nightmares.
context: Please.\Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares. response:	Just as I taught you.
context: Sound, sound through the night forest.\Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you. response:	You used too much magic. It's turned into a sleeping potion.
context: Sing, sing, young hawthorns.\Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion. response:	Work a little harder on the proportions.
context: Let your thorns pierce the creeping hooves.\Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions. response:	Okay.
context: Chise.\When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay. response:	This is hard.
context: When do you think you can finish the order for the old lady at the foot of the hill?\I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay.\This is hard. response:	Since I learned of his goal, Elias seems to have decided
context: I just finished mixing a pint of hops and five leaves of lavender for the insomnia pillow.\And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided response:	to begin seriously teaching me magic.
