context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul... response:	Fool!
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Fool! response:	This is a free fansub. Not for sale or rent.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Fool!\This is a free fansub. Not for sale or rent. response:	It's finally time. It's the beginning of the legend.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend. response:	It's finally time. It's the beginning of the legend.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend. response:	Has there ever been another program that showed...
context: Late Night Show\Bones 10th anniversary project\A healthy soul...\Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed... response:	Now everyone, please join me and...
context: Bones 10th anniversary project\A healthy soul...\Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and... response:	Now everyone, please join me and...
context: A healthy soul...\Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and... response:	Fool! Fool! Fool! Fool! Fool! Fool! Fool!
context: Fool!\This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool! response:	Fool! Fool! Fool! Fool! Fool! Fool! Fool!
context: This is a free fansub. Not for sale or rent.\It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool! response:	The northern lands.
context: It's finally time. It's the beginning of the legend.\It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\The northern lands. response:	In the peace of that shrine...
context: It's finally time. It's the beginning of the legend.\Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\The northern lands.\In the peace of that shrine... response:	Wandering through eternity, that Holy Blade...
context: Has there ever been another program that showed...\Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\The northern lands.\In the peace of that shrine...\Wandering through eternity, that Holy Blade... response:	Along History the one who pulls out the Holy Blade...
context: Now everyone, please join me and...\Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\The northern lands.\In the peace of that shrine...\Wandering through eternity, that Holy Blade...\Along History the one who pulls out the Holy Blade... response:	One strike from it will bring silence to all on its way.
context: Now everyone, please join me and...\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\Fool! Fool! Fool! Fool! Fool! Fool! Fool!\The northern lands.\In the peace of that shrine...\Wandering through eternity, that Holy Blade...\Along History the one who pulls out the Holy Blade...\One strike from it will bring silence to all on its way. response:	And a swing of that sword will split the Heavens.
