context: Signs response:	Opening 1st Frame
context: Signs\Opening 1st Frame response:	Ending
context: Signs\Opening 1st Frame\Ending response:	When did you last change shafts?
context: Signs\Opening 1st Frame\Ending\When did you last change shafts? response:	Six days ago.
context: Signs\Opening 1st Frame\Ending\When did you last change shafts?\Six days ago. response:	After the clean-up operation.
context: Signs\Opening 1st Frame\Ending\When did you last change shafts?\Six days ago.\After the clean-up operation. response:	That matches the records.
context: Signs\Opening 1st Frame\Ending\When did you last change shafts?\Six days ago.\After the clean-up operation.\That matches the records. response:	Okay, next.
context: Signs\Opening 1st Frame\Ending\When did you last change shafts?\Six days ago.\After the clean-up operation.\That matches the records.\Okay, next. response:	You are?
context: Opening 1st Frame\Ending\When did you last change shafts?\Six days ago.\After the clean-up operation.\That matches the records.\Okay, next.\You are? response:	Krista Lenz, Squad 42.
context: Ending\When did you last change shafts?\Six days ago.\After the clean-up operation.\That matches the records.\Okay, next.\You are?\Krista Lenz, Squad 42. response:	Check it for wear.
context: When did you last change shafts?\Six days ago.\After the clean-up operation.\That matches the records.\Okay, next.\You are?\Krista Lenz, Squad 42.\Check it for wear. response:	Who'd have thought killing Titans was a punishable offense...
context: Six days ago.\After the clean-up operation.\That matches the records.\Okay, next.\You are?\Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense... response:	It does seem ironic, but those two were valuable test subjects.
context: After the clean-up operation.\That matches the records.\Okay, next.\You are?\Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects. response:	Even so, why are they looking for the culprit among us trainees?
context: That matches the records.\Okay, next.\You are?\Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects.\Even so, why are they looking for the culprit among us trainees? response:	We just finished cleaning up the battlefield today.
context: Okay, next.\You are?\Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects.\Even so, why are they looking for the culprit among us trainees?\We just finished cleaning up the battlefield today. response:	Everyone's totally beat.
context: You are?\Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects.\Even so, why are they looking for the culprit among us trainees?\We just finished cleaning up the battlefield today.\Everyone's totally beat. response:	The culprit must've really loathed the Titans.
context: Krista Lenz, Squad 42.\Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects.\Even so, why are they looking for the culprit among us trainees?\We just finished cleaning up the battlefield today.\Everyone's totally beat.\The culprit must've really loathed the Titans. response:	Yeah.
context: Check it for wear.\Who'd have thought killing Titans was a punishable offense...\It does seem ironic, but those two were valuable test subjects.\Even so, why are they looking for the culprit among us trainees?\We just finished cleaning up the battlefield today.\Everyone's totally beat.\The culprit must've really loathed the Titans.\Yeah. response:	But in reality, they ended up helping the Titans...
