context: The sports festival is coming up soon. response:	Sports Festival
context: The sports festival is coming up soon.\Sports Festival response:	Please be sure to have your guardian look over the information we just handed out.
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out. response:	Sports Festival Notice
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice response:	Saikawa, what's a sports festival?
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival? response:	Wow, didn't you have them in your country, Kanna-san?
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san? response:	A sports festival is a very fun event!
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event! response:	There's running,
context: The sports festival is coming up soon.\Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running, response:	Running?
context: Sports Festival\Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running,\Running? response:	ball-tossing,
context: Please be sure to have your guardian look over the information we just handed out.\Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running,\Running?\ball-tossing, response:	Ball-tossing?
context: Sports Festival Notice\Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running,\Running?\ball-tossing,\Ball-tossing? response:	tug-o-war,
context: Saikawa, what's a sports festival?\Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running,\Running?\ball-tossing,\Ball-tossing?\tug-o-war, response:	Tug-o-war?
context: Wow, didn't you have them in your country, Kanna-san?\A sports festival is a very fun event!\There's running,\Running?\ball-tossing,\Ball-tossing?\tug-o-war,\Tug-o-war? response:	and lots of other events where the whole class works together!
context: A sports festival is a very fun event!\There's running,\Running?\ball-tossing,\Ball-tossing?\tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together! response:	Oh!
context: There's running,\Running?\ball-tossing,\Ball-tossing?\tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together!\Oh! response:	Mothers and fathers come watch, too.
context: Running?\ball-tossing,\Ball-tossing?\tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too. response:	You can eat lunch with them, as well.
context: ball-tossing,\Ball-tossing?\tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well. response:	Oh!
context: Ball-tossing?\tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh! response:	You're great at sports, so I'm sure you'll be a heroine of the day.
context: tug-o-war,\Tug-o-war?\and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day. response:	Then your mother will praise you!
context: Tug-o-war?\and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you! response:	Oh!
context: and lots of other events where the whole class works together!\Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh! response:	Work that day. Can't.
context: Oh!\Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh!\Work that day. Can't. response:	Kobayashi. Take the day off.
context: Mothers and fathers come watch, too.\You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh!\Work that day. Can't.\Kobayashi. Take the day off. response:	I can't do that.
context: You can eat lunch with them, as well.\Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh!\Work that day. Can't.\Kobayashi. Take the day off.\I can't do that. response:	Kanna, Miss Kobayashi's in the middle of her death march
context: Oh!\You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh!\Work that day. Can't.\Kobayashi. Take the day off.\I can't do that.\Kanna, Miss Kobayashi's in the middle of her death march response:	and on the verge of facing Hades.
context: You're great at sports, so I'm sure you'll be a heroine of the day.\Then your mother will praise you!\Oh!\Work that day. Can't.\Kobayashi. Take the day off.\I can't do that.\Kanna, Miss Kobayashi's in the middle of her death march\and on the verge of facing Hades. response:	Give it up.
context: Then your mother will praise you!\Oh!\Work that day. Can't.\Kobayashi. Take the day off.\I can't do that.\Kanna, Miss Kobayashi's in the middle of her death march\and on the verge of facing Hades.\Give it up. response:	No!
