context: We can't do this. response:	Sorry. Imanity's finished.
context: We can't do this.\Sorry. Imanity's finished. response:	Wh-What do you mean?
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean? response:	After that grand entrance?
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance? response:	I'm sorry. I'm sorry.
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry. response:	I didn't expect it to be set in Tokyo.
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo. response:	I can't do anything here.
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here. response:	It's our home, but we're the away team.
context: We can't do this.\Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team. response:	We can't help you, so I'm sorry,
context: Sorry. Imanity's finished.\Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry, response:	Is this your world, Masters?
context: Wh-What do you mean?\After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters? response:	but please handle this yourselves.
context: After that grand entrance?\I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves. response:	We can't do it.
context: I'm sorry. I'm sorry.\I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves.\We can't do it. response:	You were incredibly popular.
context: I didn't expect it to be set in Tokyo.\I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves.\We can't do it.\You were incredibly popular. response:	You were so popular that girls from all around the world chased you.
context: I can't do anything here.\It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves.\We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you. response:	But in your heart, there is only one woman you love.
context: It's our home, but we're the away team.\We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves.\We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love. response:	However,
context: We can't help you, so I'm sorry,\Is this your world, Masters?\but please handle this yourselves.\We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However, response:	if faced with too many temptations, your love will waver.
context: Is this your world, Masters?\but please handle this yourselves.\We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver. response:	Can you make it through all the temptations
context: but please handle this yourselves.\We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations response:	and convey your feelings to the one you love?
context: We can't do it.\You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love? response:	Love or Loved 2: Hit Her With Your Bullet of Love!
context: You were incredibly popular.\You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love! response:	Hit Her With Your Bullet of Love!
context: You were so popular that girls from all around the world chased you.\But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love! response:	Killing Giant
context: But in your heart, there is only one woman you love.\However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant response:	Can you hear me?
context: However,\if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me? response:	We'll be holding the game inside this fictional field.
context: if faced with too many temptations, your love will waver.\Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field. response:	Wait.
context: Can you make it through all the temptations\and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field.\Wait. response:	Yes?
context: and convey your feelings to the one you love?\Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field.\Wait.\Yes? response:	Let me confirm something.
context: Love or Loved 2: Hit Her With Your Bullet of Love!\Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field.\Wait.\Yes?\Let me confirm something. response:	This is a fictional place. It doesn't really exist.
context: Hit Her With Your Bullet of Love!\Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field.\Wait.\Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist. response:	In other words, it's a virtual world you imagined for your game?
context: Killing Giant\Can you hear me?\We'll be holding the game inside this fictional field.\Wait.\Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game? response:	That's right. Why?
context: Can you hear me?\We'll be holding the game inside this fictional field.\Wait.\Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why? response:	Don't scare me like that!
context: We'll be holding the game inside this fictional field.\Wait.\Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that! response:	Damn it!
context: Wait.\Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that!\Damn it! response:	That brought all kinds of trauma back to me!
