context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys. response:	Yes, we fall for someone.
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone. response:	That is the greatest mission for us girls.
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls. response:	But for girls, life is more complicated than just love.
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love. response:	And that's why...
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why... response:	I focus on friends instead.
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead. response:	Futaba!
context: Our adolescence is the season of love.\Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead.\Futaba! response:	- Good morning! - Good morning!
context: Our hearts flutter. We feel restless. And we're curious about boys.\Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead.\Futaba!\- Good morning! - Good morning! response:	Long time no see!
context: Yes, we fall for someone.\That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead.\Futaba!\- Good morning! - Good morning!\Long time no see! response:	Your seat is here.
context: That is the greatest mission for us girls.\But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead.\Futaba!\- Good morning! - Good morning!\Long time no see!\Your seat is here. response:	- Here? - Right behind me! Lucky!
