context: In the beginning, I picked you up from here. response:	When I found you, you were barely moving.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving. response:	You didn't wake up even after I took you home.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home. response:	I thought I had taken home a dead snake.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake. response:	I was nursing my wounds here.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here. response:	I could have fully recovered in three days.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days. response:	Who knew you'd take me home and apply yellowseed herbs on me?
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me? response:	Even now, my wounds aren't healed yet.
context: In the beginning, I picked you up from here.\When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet. response:	But you can't understand even if I tell you this.
context: When I found you, you were barely moving.\You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this. response:	You can leave if you want.
context: You didn't wake up even after I took you home.\I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want. response:	But if you really go, I won't have anyone to talk to anymore.
context: I thought I had taken home a dead snake.\I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore. response:	A kingfisher bird?
context: I was nursing my wounds here.\I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird? response:	Little bird.
