context: How can this be? response:	My granddaughter Asseylum, assassinated,
context: How can this be?\My granddaughter Asseylum, assassinated, response:	and we go to war against Earth without so much as a declaration?
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration? response:	Surely they knew what would come of harming a goodwill ambassador.
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador. response:	Knowing that, why?
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why? response:	What is going on there
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there response:	without my knowledge?
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there\without my knowledge? response:	We are told that the assassination was a terrorist act.
context: How can this be?\My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there\without my knowledge?\We are told that the assassination was a terrorist act. response:	But does that not imply no hostile intent on the part of the UE?
context: My granddaughter Asseylum, assassinated,\and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there\without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE? response:	It is obvious that anti-Vers factions exist on Earth.
context: and we go to war against Earth without so much as a declaration?\Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there\without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth. response:	To allow this assassination in spite of that
context: Surely they knew what would come of harming a goodwill ambassador.\Knowing that, why?\What is going on there\without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that response:	leads me to believe that her security was deliberately lax.
context: Knowing that, why?\What is going on there\without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax. response:	There is also the possibility that the assassination
context: What is going on there\without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination response:	was perpetrated by the UE government under the guise of a terrorist attack.
context: without my knowledge?\We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack. response:	To what end?
context: We are told that the assassination was a terrorist act.\But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end? response:	Her Highness is of royal blood, one able to summon forth the power of Aldnoah.
context: But does that not imply no hostile intent on the part of the UE?\It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah. response:	That bloodline is the very foundation of the Vers Empire's might.
context: It is obvious that anti-Vers factions exist on Earth.\To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might. response:	This is baffling.
context: To allow this assassination in spite of that\leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling. response:	Inform the UE government that we are suspending hostilities.
context: leads me to believe that her security was deliberately lax.\There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities. response:	And then uncover the truth.
context: There is also the possibility that the assassination\was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth. response:	Yes, Majesty.
context: was perpetrated by the UE government under the guise of a terrorist attack.\To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty. response:	How goes the war, Count Cruhteo?
context: To what end?\Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo? response:	All goes well.
context: Her Highness is of royal blood, one able to summon forth the power of Aldnoah.\That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well. response:	Tokyo and its surrounding cities have been conquered,
context: That bloodline is the very foundation of the Vers Empire's might.\This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered, response:	and Shinawara, where Princess Asseylum fell, is already in our hands.
context: This is baffling.\Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands. response:	Well done.
context: Inform the UE government that we are suspending hostilities.\And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done. response:	Incidentally, where is Sir Trillram?
context: And then uncover the truth.\Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram? response:	Is he still out distinguishing himself on the battlefield?
context: Yes, Majesty.\How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield? response:	As to that... I regret to inform you that he has fallen in battle.
context: How goes the war, Count Cruhteo?\All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle. response:	Fallen in battle?
context: All goes well.\Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle? response:	Is this true?!
context: Tokyo and its surrounding cities have been conquered,\and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?! response:	Yes. It is most regrettable.
context: and Shinawara, where Princess Asseylum fell, is already in our hands.\Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?!\Yes. It is most regrettable. response:	He was caught in the meteor bombardment that some ruffian launched on my territory.
context: Well done.\Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory. response:	That is not possible...
context: Incidentally, where is Sir Trillram?\Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible... response:	Odd. I informed him of the bombardment.
context: Is he still out distinguishing himself on the battlefield?\As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment. response:	He should not have been caught in it unawares.
context: As to that... I regret to inform you that he has fallen in battle.\Fallen in battle?\Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares. response:	Sir Trillram served me well as my guest.
context: Fallen in battle?\Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest. response:	To think that he should be taken from us in this manner...
context: Is this true?!\Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner... response:	We shall pray for the soul of our brave warrior.
context: Yes. It is most regrettable.\He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior. response:	On that note, did anyone witness his end?
context: He was caught in the meteor bombardment that some ruffian launched on my territory.\That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end? response:	What should I do?
context: That is not possible...\Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do? response:	They knew Princess Asseylum was alive, and yet...
context: Odd. I informed him of the bombardment.\He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet... response:	If I do nothing, she really will be assassinated sooner or later.
context: He should not have been caught in it unawares.\Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later. response:	I want it repaired immediately!
context: Sir Trillram served me well as my guest.\To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately! response:	Don't just stand there!
