context: My name is Shinka Nibutani. response:	I am a Year Two student at Icho Private High School.
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School. response:	I'm a little bit of a klutz, and can be stubborn...
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn... response:	Okay, time to go.
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go. response:	Oh, Nibu. Morning!
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning! response:	Morning.
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning!\Morning. response:	Morning. Morning.
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning!\Morning.\Morning. Morning. response:	Morning, everyone.
context: My name is Shinka Nibutani.\I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning!\Morning.\Morning. Morning.\Morning, everyone. response:	What? We had math homework?
context: I am a Year Two student at Icho Private High School.\I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning!\Morning.\Morning. Morning.\Morning, everyone.\What? We had math homework? response:	Haven't you done it either, Becky? I was counting on you.
context: I'm a little bit of a klutz, and can be stubborn...\Okay, time to go.\Oh, Nibu. Morning!\Morning.\Morning. Morning.\Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you. response:	Fukachi? Becky? Would you like to see my notes?
context: Okay, time to go.\Oh, Nibu. Morning!\Morning.\Morning. Morning.\Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes? response:	Are you sure?
