context: What? response:	Mesto Meadrich lost his Crest and his territories, you say?
context: What?\Mesto Meadrich lost his Crest and his territories, you say? response:	And to whom?
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom? response:	A wandering Lord by the name of Theo.
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo. response:	Also, he's making it known that he's joining the Alliance rather than the Federation.
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation. response:	Oh? How fortunate.
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate. response:	Just when we're on the brink of war, a Crest and territoy come falling into our laps!
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps! response:	No time to lose, we move to attack!
context: What?\Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack! response:	I have no objections...
context: Mesto Meadrich lost his Crest and his territories, you say?\And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections... response:	But you're talking about a cross-border invasion.
context: And to whom?\A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion. response:	The Lords of Clovis will be sure to give you an earful.
context: A wandering Lord by the name of Theo.\Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful. response:	Once I seize that Crest and land, it won't matter!
context: Also, he's making it known that he's joining the Alliance rather than the Federation.\Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter! response:	I can take one wandering Lord in my sleep!
context: Oh? How fortunate.\Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep! response:	You're telling me that all this territory is mine now?
context: Just when we're on the brink of war, a Crest and territoy come falling into our laps!\No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now? response:	The three villages in this territory have recognized you as their Lord.
context: No time to lose, we move to attack!\I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord. response:	It seems they were being taxed too heavily.
context: I have no objections...\But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily. response:	There's no need to collect taxes!
context: But you're talking about a cross-border invasion.\The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes! response:	But that's not how it works. You'll need funds to run your territory.
