context: Modern Shogi Famous Matches Chosen by Shogi Players response:	So bright...
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright... response:	I really need to get curtains.
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains. response:	The last piece of fried chicken...
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains.\The last piece of fried chicken... response:	Today's game is in the sixth block of the Lion King tournament.
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament. response:	My opponent is Harunobu Nikaidou.
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou. response:	It's almost summer vacation.
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation. response:	This is my first game after becoming a professional player.
context: Modern Shogi Famous Matches Chosen by Shogi Players\So bright...\I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player. response:	Harunobu
context: So bright...\I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu response:	When summer vacation hits, shogi tournaments for children
context: I really need to get curtains.\The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children response:	are held on the roof of a department store.
context: The last piece of fried chicken...\Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store. response:	Before joining the federation, strong kids from around the country
