context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	I can hear thunder rumbling in the distance.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I can hear thunder rumbling in the distance. response:	Whenever lightning approaches, I feel restless.
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless. response:	Come...
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come... response:	This way.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come...\This way. response:	Lightning's End
context: Mushi-Shi\Just for you\Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come...\This way.\Lightning's End response:	I'm sorry.
context: Just for you\Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come...\This way.\Lightning's End\I'm sorry. response:	Mother, I'm sorry!
context: Like I used to\I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come...\This way.\Lightning's End\I'm sorry.\Mother, I'm sorry! response:	Mother!
context: I can hear thunder rumbling in the distance.\Whenever lightning approaches, I feel restless.\Come...\This way.\Lightning's End\I'm sorry.\Mother, I'm sorry!\Mother! response:	I'm scared!
context: Whenever lightning approaches, I feel restless.\Come...\This way.\Lightning's End\I'm sorry.\Mother, I'm sorry!\Mother!\I'm scared! response:	Please help me!
context: Come...\This way.\Lightning's End\I'm sorry.\Mother, I'm sorry!\Mother!\I'm scared!\Please help me! response:	Mother!
context: This way.\Lightning's End\I'm sorry.\Mother, I'm sorry!\Mother!\I'm scared!\Please help me!\Mother! response:	Hm?
context: Lightning's End\I'm sorry.\Mother, I'm sorry!\Mother!\I'm scared!\Please help me!\Mother!\Hm? response:	That must be it.
context: I'm sorry.\Mother, I'm sorry!\Mother!\I'm scared!\Please help me!\Mother!\Hm?\That must be it. response:	Is something wrong with that tree?
context: Mother, I'm sorry!\Mother!\I'm scared!\Please help me!\Mother!\Hm?\That must be it.\Is something wrong with that tree? response:	I heard it's been struck by lightning multiple times.
context: Mother!\I'm scared!\Please help me!\Mother!\Hm?\That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times. response:	It must trouble you and your family.
context: I'm scared!\Please help me!\Mother!\Hm?\That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family. response:	So I thought there may be an underlying cause.
context: Please help me!\Mother!\Hm?\That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause. response:	What kind of a cause?
context: Mother!\Hm?\That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause? response:	Although that tree is magnificent,
context: Hm?\That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent, response:	there are other large trees in its vicinity.
context: That must be it.\Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity. response:	Therefore, it's possible that it's been struck by lightning so many times
context: Is something wrong with that tree?\I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times response:	because other factors are involved.
context: I heard it's been struck by lightning multiple times.\It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved. response:	For example, it may be inhabited by a mushi.
context: It must trouble you and your family.\So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi. response:	A mushi?
context: So I thought there may be an underlying cause.\What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi? response:	Yes.
context: What kind of a cause?\Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi?\Yes. response:	I am Ginko, a mushi-shi.
context: Although that tree is magnificent,\there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi?\Yes.\I am Ginko, a mushi-shi. response:	So would it be possible for me to see the tree in your backyard?
context: there are other large trees in its vicinity.\Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi?\Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard? response:	Please wait here.
context: Therefore, it's possible that it's been struck by lightning so many times\because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi?\Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here. response:	I must ask my husband first.
context: because other factors are involved.\For example, it may be inhabited by a mushi.\A mushi?\Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first. response:	Seems there aren't any in this tree.
context: For example, it may be inhabited by a mushi.\A mushi?\Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first.\Seems there aren't any in this tree. response:	If that's the case...
context: A mushi?\Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first.\Seems there aren't any in this tree.\If that's the case... response:	has anyone in your household been struck by lightning?
context: Yes.\I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first.\Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning? response:	Come in, Reki.
context: I am Ginko, a mushi-shi.\So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first.\Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki. response:	Now then, would you mind showing me your abdomen?
context: So would it be possible for me to see the tree in your backyard?\Please wait here.\I must ask my husband first.\Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen? response:	There it is.
context: Please wait here.\I must ask my husband first.\Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is. response:	Whenever there's thunder and lightning,
context: I must ask my husband first.\Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning, response:	does it start to feel hot around your navel?
context: Seems there aren't any in this tree.\If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel? response:	How long ago was he hit by lightning?
context: If that's the case...\has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel?\How long ago was he hit by lightning? response:	The first time was five years ago,
context: has anyone in your household been struck by lightning?\Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel?\How long ago was he hit by lightning?\The first time was five years ago, response:	under that tree.
context: Come in, Reki.\Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel?\How long ago was he hit by lightning?\The first time was five years ago,\under that tree. response:	Since then, he's been hit about three more times...
context: Now then, would you mind showing me your abdomen?\There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel?\How long ago was he hit by lightning?\The first time was five years ago,\under that tree.\Since then, he's been hit about three more times... response:	all while he was under that tree.
context: There it is.\Whenever there's thunder and lightning,\does it start to feel hot around your navel?\How long ago was he hit by lightning?\The first time was five years ago,\under that tree.\Since then, he's been hit about three more times...\all while he was under that tree. response:	It's a miracle he survived.
