context: Black Mist response:	After our class came back from the trip,
context: Black Mist\After our class came back from the trip, response:	things took a slightly strange turn in our classroom.
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom. response:	Huh?
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh? response:	I don't have a single piece of chalk.
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk. response:	There were several pieces just this morning...
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk.\There were several pieces just this morning... response:	Fujiwara-no-Teika Traces of Beauty Graceful
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful response:	Hey! Who threw that eraser?!
context: Black Mist\After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?! response:	Well?
context: After our class came back from the trip,\things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well? response:	LANGUAGE PREP ROOM
context: things took a slightly strange turn in our classroom.\Huh?\I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM response:	It's gone... It's gone...
context: Huh?\I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM\It's gone... It's gone... response:	It's gone.
context: I don't have a single piece of chalk.\There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone. response:	It's not here.
context: There were several pieces just this morning...\Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone.\It's not here. response:	LANGUAGE PREP ROOM
context: Fujiwara-no-Teika Traces of Beauty Graceful\Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone.\It's not here.\LANGUAGE PREP ROOM response:	Excuse me.
context: Hey! Who threw that eraser?!\Well?\LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone.\It's not here.\LANGUAGE PREP ROOM\Excuse me. response:	I'm here to prep the classroom.
context: Well?\LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone.\It's not here.\LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom. response:	What's wrong?
context: LANGUAGE PREP ROOM\It's gone... It's gone...\It's gone.\It's not here.\LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom.\What's wrong? response:	Oh. You're on duty today?
context: It's gone... It's gone...\It's gone.\It's not here.\LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today? response:	I'm missing my timeline.
context: It's gone.\It's not here.\LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today?\I'm missing my timeline. response:	Timeline? Is it that scroll you always use?
context: It's not here.\LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use? response:	The green one.
context: LANGUAGE PREP ROOM\Excuse me.\I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one. response:	Yes.
context: Excuse me.\I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one.\Yes. response:	That's right. What should I do? It'll be troublesome if I don't have it.
context: I'm here to prep the classroom.\What's wrong?\Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it. response:	What's been going on recently?
context: What's wrong?\Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently? response:	These incidents keep happening...
context: Oh. You're on duty today?\I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening... response:	Is it just my imagination? She looks like she's lost a lot of weight.
context: I'm missing my timeline.\Timeline? Is it that scroll you always use?\The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight. response:	I'll just have to do without it. Oh, the bell's about to ring.
