context: Who? Who is calling me? response:	Ah
context: Who? Who is calling me?\Ah response:	It was this sound.
context: Who? Who is calling me?\Ah\It was this sound. response:	Sakura, breakfast is ready.
context: Who? Who is calling me?\Ah\It was this sound.\Sakura, breakfast is ready. response:	I'm Sakura Kinomoto.
context: Who? Who is calling me?\Ah\It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto. response:	A fourth grader at Tomoeda elementary.
context: Who? Who is calling me?\Ah\It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary. response:	My favorite subjects are PE and music.
context: Who? Who is calling me?\Ah\It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music. response:	My least favorite subject is math.
context: Who? Who is calling me?\Ah\It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math. response:	In short, a girl best known for her energy.
context: Ah\It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy. response:	My family life is'
context: It was this sound.\Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy.\My family life is' response:	Good morning.
context: Sakura, breakfast is ready.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy.\My family life is'\Good morning. response:	Why were you rampaging in your room?
context: I'm Sakura Kinomoto.\A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy.\My family life is'\Good morning.\Why were you rampaging in your room? response:	I wasn't rampaging.
context: A fourth grader at Tomoeda elementary.\My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy.\My family life is'\Good morning.\Why were you rampaging in your room?\I wasn't rampaging. response:	Even so the stomping was noisy.
context: My favorite subjects are PE and music.\My least favorite subject is math.\In short, a girl best known for her energy.\My family life is'\Good morning.\Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy. response:	I was just walking normally.
context: My least favorite subject is math.\In short, a girl best known for her energy.\My family life is'\Good morning.\Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally. response:	Just from you walking
context: In short, a girl best known for her energy.\My family life is'\Good morning.\Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally.\Just from you walking response:	it sounds like a monster is stomping.
context: My family life is'\Good morning.\Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally.\Just from you walking\it sounds like a monster is stomping. response:	I'm not a monster!
context: Good morning.\Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally.\Just from you walking\it sounds like a monster is stomping.\I'm not a monster! response:	This bully is my big brother Touya.
context: Why were you rampaging in your room?\I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally.\Just from you walking\it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya. response:	He is a junior in high school.
context: I wasn't rampaging.\Even so the stomping was noisy.\I was just walking normally.\Just from you walking\it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school. response:	He goes to Seijou High which is right next to my school.
